ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	2053	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	2053	
3	Thao	hand	1	446	rima	r i m a	1729	
4	Palauan	hand	1	446	cʰim	cʰ i m	1729	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	2053	
6	Bare'e	hand	1	1484	pale	p a l e	1388	
7	Iban	hand	1	155	taŋan	t a ŋ a n	2053	
8	Iban	hand	1	1556	jari	j a r i	91	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	2037	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	1006	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	2575	
12	Wuna	hand	1	446	lima	l i m a	1729	
13	Tetum	hand	1	446	liman	l i m a n	1729	
14	Mailu	hand	1	446	ima	i m a	1729	
15	Tsou	hand	1	350	mucu	m u c u	1402	
16	Nias	hand	1	155	taŋa	t a ŋ a	2053	
17	Central Amis	hand	1	19	kamaj	k a m a j	2575	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	2575	
19	Banoni	hand	1	446	numa	n u m a	1729	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	2053	
21	Maloh	left	2	1000	kajoko	k a j o k o	601	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	836	
23	Palauan	left	2	1253	katur	k a t u r	1885	
24	Tunjung	left	2	645	ulaj	u l a j	1684	
25	Bare'e	left	2	483	kaiː	k a iː	1794	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	419	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	705	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	2174	
29	Hanunoo	left	2	159	wala	w a l a	1770	
30	Wuna	left	2	98	kema	k e m a	419	
31	Tetum	left	2	1881	karuk	k a r u k	1885	
32	Mailu	left	2	1934	ebe	e b e	419	
33	Tsou	left	2	483	vrina	v r i n a	1836	
34	Nias	left	2	2227	kabera	k a b e r a	1967	
35	Central Amis	left	2	483	kawili	k a w i l i	281	
36	Chamorro	left	2	2516	akague	a k a g u e	1796	
37	Banoni	left	2	2601	tororona	t o r o r o n a	677	
38	Singhi	left	2	2743	bait	b a i t	1252	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	1358	
40	Maloh	right	3	-519	kato	k a t o	1139	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	2344	
42	Palauan	right	3	1254	kadikm	k a d i k m	1272	
43	Tunjung	right	3	519	tauʔ	t a u ʔ	2303	
44	Bare'e	right	3	255	kana	k a n a	2344	
45	Iban	right	3	255	kanan	k a n a n	2344	
46	Berawan (Long Terawan)	right	3	519	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h	1156	
47	Moken	right	3	255	nanaːn	n a n aː n	2344	
48	Hanunoo	right	3	-184	sikun	s i k u n	1502	
49	Wuna	right	3	255	swana	s w a n a	2344	
50	Tetum	right	3	255	kwana	k w a n a	2344	
51	Mailu	right	3	1935	iata	i a t a	1054	
52	Tsou	right	3	255	vhona	v h o n a	2344	
53	Nias	right	3	2228	kawõlõ	k a w õ l õ	911	
54	Central Amis	right	3	255	kawanan	k a w a n a n	2344	
55	Banoni	right	3	519	matoː	m a t oː	1139	
56	Singhi	right	3	519	toux	t o u x	2303	
57	Banggi	right	3	-184	kikuan	k i k u a n	1502	
58	Merina (Malagasy)	leg/foot	4	-97	ranjo	r a n j o	952	
59	Merina (Malagasy)	leg/foot	4	1053	toŋotra	t o ŋ o t r a	2708	
60	Thao	leg/foot	4	1161	kuskus	k u s k u s	892	
61	Palauan	leg/foot	4	-290	oacʰ	o a cʰ	1078	
62	Tunjung	leg/foot	4	1401	uneŋ	u n e ŋ	956	
63	Bare'e	leg/foot	4	28	witi	w i t i	62	
64	Iban	leg/foot	4	290	kaki	k a k i	2296	
65	Iban	leg/foot	4	1557	pah	p a h	2296	
66	Berawan (Long Terawan)	leg/foot	4	366	gimaʔ	g i m a ʔ	2258	
67	Moken	leg/foot	4	199	pakaʔ	p a k a ʔ	2296	
68	Moken	leg/foot	4	290	kakaj	k a k a j	2296	
69	Hanunoo	leg/foot	4	1797	raparapa	r a p a r a p a	2296	
