ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	1031	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	2961	
3	Thao	hand	1	446	rima	r i m a	442	
4	Palauan	hand	1	446	cʰim	cʰ i m	2510	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	2641	
6	Bare'e	hand	1	1484	pale	p a l e	2048	
7	Iban	hand	1	155	taŋan	t a ŋ a n	1031	
8	Iban	hand	1	1556	jari	j a r i	146	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	2941	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	1505	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	1116	
12	Wuna	hand	1	446	lima	l i m a	442	
13	Tetum	hand	1	446	liman	l i m a n	442	
14	Mailu	hand	1	446	ima	i m a	1462	
15	Tsou	hand	1	350	mucu	m u c u	2066	
16	Nias	hand	1	155	taŋa	t a ŋ a	1031	
17	Central Amis	hand	1	19	kamaj	k a m a j	1116	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	3601	
19	Banoni	hand	1	446	numa	n u m a	674	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	1031	
21	Maloh	left	2	1000	kajoko	k a j o k o	894	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	1228	
23	Palauan	left	2	1253	katur	k a t u r	2728	
24	Tunjung	left	2	645	ulaj	u l a j	2447	
25	Bare'e	left	2	483	kaiː	k a iː	2607	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	382	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	1037	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	3126	
29	Hanunoo	left	2	159	wala	w a l a	2575	
30	Wuna	left	2	98	kema	k e m a	633	
31	Tetum	left	2	1881	karuk	k a r u k	672	
32	Mailu	left	2	1934	ebe	e b e	512	
33	Tsou	left	2	483	vrina	v r i n a	2655	
34	Nias	left	2	2227	kabera	k a b e r a	2845	
35	Central Amis	left	2	483	kawili	k a w i l i	429	
36	Chamorro	left	2	2516	akague	a k a g u e	2609	
37	Banoni	left	2	2601	tororona	t o r o r o n a	997	
38	Singhi	left	2	2743	bait	b a i t	1859	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	2011	
40	Maloh	right	3	-519	kato	k a t o	1704	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	824	
42	Palauan	right	3	1254	kadikm	k a d i k m	1886	
43	Tunjung	right	3	519	tauʔ	t a u ʔ	2017	
44	Bare'e	right	3	255	kana	k a n a	3329	
45	Iban	right	3	255	kanan	k a n a n	3329	
46	Berawan (Long Terawan)	right	3	519	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h	1727	
47	Moken	right	3	255	nanaːn	n a n aː n	3329	
48	Hanunoo	right	3	-184	sikun	s i k u n	1101	
49	Wuna	right	3	255	swana	s w a n a	3329	
50	Tetum	right	3	255	kwana	k w a n a	3329	
51	Mailu	right	3	1935	iata	i a t a	1568	
52	Tsou	right	3	255	vhona	v h o n a	1522	
53	Nias	right	3	2228	kawõlõ	k a w õ l õ	1350	
54	Central Amis	right	3	255	kawanan	k a w a n a n	3329	
55	Banoni	right	3	519	matoː	m a t oː	1208	
56	Singhi	right	3	519	toux	t o u x	3278	
57	Banggi	right	3	-184	kikuan	k i k u a n	2199	
58	Merina (Malagasy)	leg/foot	4	-97	ranjo	r a n j o	1409	
59	Merina (Malagasy)	leg/foot	4	1053	toŋotra	t o ŋ o t r a	3740	
60	Thao	leg/foot	4	1161	kuskus	k u s k u s	1319	
61	Palauan	leg/foot	4	-290	oacʰ	o a cʰ	1601	
62	Tunjung	leg/foot	4	1401	uneŋ	u n e ŋ	1415	
63	Bare'e	leg/foot	4	28	witi	w i t i	103	
64	Iban	leg/foot	4	290	kaki	k a k i	1083	
65	Iban	leg/foot	4	1557	pah	p a h	1823	
66	Berawan (Long Terawan)	leg/foot	4	366	gimaʔ	g i m a ʔ	3222	
67	Moken	leg/foot	4	199	pakaʔ	p a k a ʔ	3266	
68	Moken	leg/foot	4	290	kakaj	k a k a j	2721	
69	Hanunoo	leg/foot	4	1797	raparapa	r a p a r a p a	604	
70	Wuna	leg/foot	4	290	gʰagʰe	gʰ a gʰ e	32	
71	Tetum	leg/foot	4	290	ain	a i n	2239	
72	Mailu	leg/foot	4	1936	au	a u	348	
73	Tsou	leg/foot	4	2099	ruru	r u r u	849	
74	Nias	leg/foot	4	290	ahe	a h e	2099	
75	Central Amis	leg/foot	4	290	waqaj	w a q a j	2721	
76	Chamorro	leg/foot	4	2517	adːeŋ	a dː e ŋ	65	
77	Banoni	leg/foot	4	2602	rapinːa	r a p i nː a	1769	
78	Singhi	leg/foot	4	2744	peun	p e u n	355	
79	Banggi	leg/foot	4	290	uei	u e i	3730	
80	Maloh	to walk	5	563	lambaʔ	l a m b a ʔ	3542	
81	Merina (Malagasy)	to walk	5	1054	mandéha	m a n d é h a	2955	
82	Palauan	to walk	5	212	merael	m e r a e l	391	
83	Tunjung	to walk	5	212	calan	c a l a n	145	
84	Bare'e	to walk	5	99	linja	l i n j a	1170	
85	Iban	to walk	5	212	jalai	j a l a i	1511	
86	Berawan (Long Terawan)	to walk	5	57	lakaw	l a k a w	2929	
87	Moken	to walk	5	57	lakaw	l a k a w	2929	
88	Hanunoo	to walk	5	57	lumakaw	l u m a k a w	2929	
89	Wuna	to walk	5	362	nokala	n o k a l a	3042	
90	Tetum	to walk	5	57	laʔo	l a ʔ o	1537	
91	Mailu	to walk	5	1937	baebae	b a e b a e	1912	
92	Tsou	to walk	5	2100	coeconʉ	c o e c o n ʉ	3621	
93	Nias	to walk	5	416	fanõ	f a n õ	1630	
94	Central Amis	to walk	5	690	lumakat	l u m a k a t	2929	
95	Central Amis	to walk	5	690	rumakat	r u m a k a t	2929	
96	Chamorro	to walk	5	57	lahu	l a h u	2306	
97	Singhi	to walk	5	416	ponu	p o n u	642	
98	Banggi	to walk	5	416	empaːno	e m p aː n o	485	
99	Maloh	road/path	6	95	dalan	d a l a n	2762	
100	Merina (Malagasy)	road/path	6	95	lalana	l a l a n a	2762	
101	Thao	road/path	6	95	saran	s a r a n	1752	
102	Palauan	road/path	6	95	rael	r a e l	897	
103	Tunjung	road/path	6	95	loroŋ	l o r o ŋ	3745	
104	Bare'e	road/path	6	95	jaja	j a j a	2029	
105	Iban	road/path	6	95	jalai	j a l a i	2082	
106	Berawan (Long Terawan)	road/path	6	95	ilan	i l a n	2826	
107	Hanunoo	road/path	6	95	dalan	d a l a n	2762	
108	Wuna	road/path	6	95	sala	s a l a	2970	
109	Tetum	road/path	6	95	dalan	d a l a n	2762	
110	Mailu	road/path	6	1938	laea	l a e a	2533	
111	Tsou	road/path	6	95	ceonʉ	c e o n ʉ	1283	
112	Nias	road/path	6	95	lala	l a l a	2762	
113	Central Amis	road/path	6	95	lalan	l a l a n	2762	
114	Chamorro	road/path	6	95	cʰalan	cʰ a l a n	2762	
115	Banoni	road/path	6	95	sanana	s a n a n a	847	
116	Singhi	road/path	6	95	aran	a r a n	1752	
117	Maloh	to come	7	1001	mondok	m o n d o k	3147	
118	Merina (Malagasy)	to come	7	154	avj	a v j	3616	
119	Merina (Malagasy)	to come	7	1055	toŋa	t o ŋ a	2491	
120	Thao	to come	7	1162	munaj	m u n a j	556	
121	Palauan	to come	7	719	méi	m é i	985	
122	Tunjung	to come	7	1402	moːt	m oː t	3365	
123	Bare'e	to come	7	719	maʔi	m a ʔ i	1440	
124	Iban	to come	7	-561	datai	d a t a i	2964	
125	Berawan (Long Terawan)	to come	7	1631	liʔ	l i ʔ	820	
126	Moken	to come	7	1703	ŋadin	ŋ a d i n	186	
127	Hanunoo	to come	7	1798	balik	b a l i k	2230	
128	Wuna	to come	7	719	mai	m a i	1863	
129	Tetum	to come	7	719	mai	m a i	1863	
130	Mailu	to come	7	-719	ai	a i	2715	
131	Tsou	to come	7	3	oh	o h	3312	
132	Tsou	to come	7	3	uso	u s o	61	
133	Nias	to come	7	719	mõi	m õ i	351	
134	Central Amis	to come	7	2334	tajni	t a j n i	3025	
135	Singhi	to come	7	2745	nug	n u g	3205	
136	Banggi	to come	7	2845	miaːtaŋ	m i aː t a ŋ	3148	
137	Maloh	to turn	8	1002	lempaŋ	l e m p a ŋ	758	
138	Merina (Malagasy)	to turn	8	-367	vilj	v i l j	1247	
139	Thao	to turn	8	1163	taushuqish	t a u s h u q i s h	2034	
140	Palauan	to turn	8	1255	meŋesoim	m e ŋ e s o i m	59	
141	Tunjung	to turn	8	1403	nencaŋ	n e n c a ŋ	3212	
142	Bare'e	to turn	8	591	gili	g i l i	736	
143	Iban	to turn	8	431	bilok	b i l o k	3535	
144	Berawan (Long Terawan)	to turn	8	1632	ŋəlibiʔ	ŋ ə l i b i ʔ	589	
145	Moken	to turn	8	1704	nʲiliək	nʲ i l i ə k	3653	
146	Hanunoo	to turn	8	1799	simaŋ	s i m a ŋ	3073	
147	Wuna	to turn	8	1860	nobelo	n o b e l o	3092	
148	Tetum	to turn	8	-367	filas	f i l a s	695	
149	Tetum	to turn	8	-367	fila	f i l a	1828	
150	Tetum	to turn	8	-367	faur	f a u r	2377	
151	Tsou	to turn	8	2101	miunu	m i u n u	2877	
152	Central Amis	to turn	8	2335	maliwuŋ	m a l i w u ŋ	1724	
153	Banoni	to turn	8	2603	beruː	b e r uː	213	
154	Banoni	to turn	8	2604	vegom	v e g o m	3687	
155	Singhi	to turn	8	2746	kus	k u s	870	
156	Maloh	to swim	9	-311	arananaŋ	a r a n a n a ŋ	184	
157	Merina (Malagasy)	to swim	9	543	lomano	l o m a n o	270	
158	Merina (Malagasy)	to swim	9	1056	milomano	m i l o m a n o	3634	
159	Thao	to swim	9	1164	mrauz	m r a u z	2570	
160	Palauan	to swim	9	1256	meŋedub	m e ŋ e d u b	3332	
161	Tunjung	to swim	9	543	karaŋoj	k a r a ŋ o j	1976	
162	Bare'e	to swim	9	543	naŋu	n a ŋ u	1904	
163	Iban	to swim	9	1558	njemerai	n j e m e r a i	457	
164	Berawan (Long Terawan)	to swim	9	543	pəloŋoj	p ə l o ŋ o j	623	
165	Moken	to swim	9	543	naŋoj	n a ŋ o j	1904	
166	Hanunoo	to swim	9	543	lumaŋuj	l u m a ŋ u j	1904	
167	Wuna	to swim	9	543	leni	l e n i	62	
168	Tetum	to swim	9	543	nani	n a n i	1302	
169	Mailu	to swim	9	540	loroloro	l o r o l o r o	2347	
