ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	1626	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	1626	
3	Thao	hand	1	446	rima	r i m a	1626	
4	Palauan	hand	1	446	cʰim	cʰ i m	1626	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	1626	
6	Bare'e	hand	1	1484	pale	p a l e	1626	
7	Iban	hand	1	155	taŋan	t a ŋ a n	1626	
8	Iban	hand	1	1556	jari	j a r i	56	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	1626	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	606	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	1626	
12	Wuna	hand	1	446	lima	l i m a	1626	
13	Tetum	hand	1	446	liman	l i m a n	1626	
14	Mailu	hand	1	446	ima	i m a	1626	
15	Tsou	hand	1	350	mucu	m u c u	859	
16	Nias	hand	1	155	taŋa	t a ŋ a	1626	
17	Central Amis	hand	1	19	kamaj	k a m a j	1626	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	1626	
19	Banoni	hand	1	446	numa	n u m a	1626	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	1626	
21	Maloh	left	2	1000	kajoko	k a j o k o	1155	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	1341	
23	Palauan	left	2	1253	katur	k a t u r	1155	
24	Tunjung	left	2	645	ulaj	u l a j	1341	
25	Bare'e	left	2	483	kaiː	k a iː	1098	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	1341	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	426	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	1341	
29	Hanunoo	left	2	159	wala	w a l a	1341	
30	Wuna	left	2	98	kema	k e m a	1341	
31	Tetum	left	2	1881	karuk	k a r u k	1155	
32	Mailu	left	2	1934	ebe	e b e	1341	
33	Tsou	left	2	483	vrina	v r i n a	1128	
34	Nias	left	2	2227	kabera	k a b e r a	1341	
35	Central Amis	left	2	483	kawili	k a w i l i	1341	
