ID	Taxon	Gloss	GlossID	Orthography	IPA	Tokens	CogID	NewCogID	
1	Albanian	all	1	gjithë	ɟiθ	ɟ i θ	4	960	
2	English	all	1	all	ɔl	ɔ l	1	721	
3	French	all	1	tous	tut	t u t	2	493	
4	German	all	1	alle	al	a l	1	721	
5	Hawaiian	all	1	apau	apau	a p a u	7	919	
6	Navajo	all	1	t'áá 'áƚtso	ʔayɬʦo	ʔ ay ɬ ʦ o	5	229	
7	Turkish	all	1	bütün	bytyn	b y t y n	3	849	
8	Albanian	and	2	e	e	e	-916	145	
9	English	and	2	and	and	a n d	915	701	
10	French	and	2	et	e	e	916	687	
11	German	and	2	und	unt	u n t	915	701	
12	Hawaiian	and	2	ā	aː	aː	919	443	
13	Navajo	and	2	dóó	doː	d oː	918	213	
14	Turkish	and	2	ve	ve	v e	-917	687	
15	Albanian	animal	3	kafshë	kafʃ	k a f ʃ	-1018	246	
16	English	animal	3	animal	anəməl	a n ə m ə l	-1016	287	
17	French	animal	3	animal	animal	a n i m a l	-1016	287	
18	German	animal	3	Tier	tiːr	t iː r	1015	838	
19	Hawaiian	animal	3	holoholona	holoholona	h o l o h o l o n a	1020	828	
20	Navajo	animal	3	naaldeehii	naːldeːhiː	n aː l d eː h iː	1019	176	
21	Turkish	animal	3	hayvan	hajvan	h a j v a n	-1017	35	
22	Albanian	ashes	4	hi	hir	h i r	274	370	
23	English	ashes	4	ashes	aʃ	a ʃ	271	1069	
24	French	ashes	4	cendre	sɑ̃dr	s ɑ̃ d r	272	644	
25	German	ashes	4	Asche	aʃə	a ʃ ə	271	1069	
26	Hawaiian	ashes	4	lehu	lehu	l e h u	276	419	
27	Navajo	ashes	4	ƚeeshch'ih	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	275	183	
28	Turkish	ashes	4	kül	kyl	k y l	273	317	
29	Albanian	at	5	në	nə	n ə	954	815	
30	English	at	5	at	at	a t	952	940	
31	French	at	5	à	a	a	952	822	
32	German	at	5	an	an	a n	951	815	
33	Hawaiian	at	5	ma	ma	m a	956	940	
34	Navajo	at	5	-di	di	d i	955	478	
35	Turkish	at	5	-de	de	d e	953	478	
36	Albanian	back	6	shpinë	ʃpin	ʃ p i n	-369	862	
37	English	back	6	back	bak	b a k	367	142	
38	French	back	6	dos	do	d o	366	1063	
39	German	back	6	Rücken	rykən	r y k ə n	365	195	
40	Hawaiian	back	6	kua	kua	k u a	372	936	
41	Navajo	back	6	'anághah	nayɣah	n ay ɣ a h	370	1063	
42	Turkish	back	6	arka	arka	a r k a	368	59	
43	Albanian	bad	7	keq	kec	k e c	-281	201	
44	English	bad	7	bad	bad	b a d	279	825	
45	French	bad	7	mauvais	mɔvɛz	m ɔ v ɛ z	278	906	
46	German	bad	7	schlecht	ʃlext	ʃ l e x t	277	984	
47	Hawaiian	bad	7	`ino	ʔino	ʔ i n o	283	23	
48	Navajo	bad	7	doo yá'áshǫ́ǫ da	jayʔayʃõõ	j ay ʔ ay ʃ õ õ	282	248	
49	Turkish	bad	7	kötü	køty	k ø t y	-280	531	
50	Albanian	bark	8	shkëlbozë	ʃkəlboz	ʃ k ə l b o z	413	65	
51	English	bark	8	bark	bɑrk	b ɑ r k	-411	777	
52	French	bark	8	écorce	ekɔrs	e k ɔ r s	410	707	
53	German	bark	8	Rinde	rində	r i n d ə	409	499	
54	Hawaiian	bark	8	`ili	ʔili	ʔ i l i	415	583	
55	Navajo	bark	8	'akásht'óózh	kayʃtˀoːʒ	k ay ʃ tˀ oː ʒ	414	345	
56	Turkish	bark	8	kabuk	kabuk	k a b u k	412	480	
57	Albanian	because	9	sepse	sepse	s e p s e	336	395	
58	English	because	9	because	bəkɔz	b ə k ɔ z	-337	570	
59	French	because	9	parce que	pars	p a r s	336	1035	
60	German	because	9	weil	vail	v ai l	335	472	
61	Hawaiian	because	9	ā mea	aːmea	aː m e a	341	816	
62	Navajo	because	9	háálá	haːlay	h aː l ay	339	577	
63	Turkish	because	9	çünkü	ʧynky	ʧ y n k y	338	94	
64	Albanian	belly	10	bark	bark	b a r k	1012	468	
65	English	belly	10	belly	bɛli	b ɛ l i	1010	468	
66	French	belly	10	ventre	vɑ̃tr	v ɑ̃ t r	1009	427	
67	German	belly	10	Bauch	baux	b au x	1008	468	
68	Hawaiian	belly	10	`ōpū	ʔoːpuː	ʔ oː p uː	1014	1057	
69	Navajo	belly	10	'abid	bid	b i d	1013	702	
70	Turkish	belly	10	karın	karn	k a r n	1011	468	
71	Albanian	big	11	madh	mað	m a ð	198	428	
72	English	big	11	big	bɪg	b ɪ g	196	375	
73	French	big	11	grand	grɑ̃d	g r ɑ̃ d	195	1114	
74	German	big	11	groß	groːs	g r oː s	194	1114	
75	Hawaiian	big	11	nui	nui	n u i	200	441	
76	Navajo	big	11	'áníƚtso	ʔayniɬʦo	ʔ ay n i ɬ ʦ o	199	66	
77	Turkish	big	11	büyük	byjyk	b y j y k	197	1045	
78	Albanian	bird	12	zog	zog	z o g	-482	383	
79	English	bird	12	bird	bərd	b ə r d	480	1016	
80	French	bird	12	oiseau	wazo	w a z o	479	780	
81	German	bird	12	Vogel	foːgəl	f oː g ə l	478	177	
82	Hawaiian	bird	12	manu	manu	m a n u	484	436	
83	Navajo	bird	12	tsídii	ʦidiː	ʦ i d iː	483	141	
84	Turkish	bird	12	kuş	kuʃ	k u ʃ	481	304	
85	Albanian	bite	13	kafshon	kafʃo	k a f ʃ o	714	697	
86	English	bite	13	bites	bait	b ai t	711	1095	
87	French	bite	13	mord	mɔr	m ɔ r	712	545	
88	German	bite	13	beißt	bais	b ai s	711	1095	
89	Hawaiian	bite	13	nahu	nahu	n a h u	716	1095	
90	Navajo	bite	13	'aháshháásh	ʔahayɬhaːʃ	ʔ a h ay ɬ h aː ʃ	715	725	
91	Turkish	bite	13	ısırıyor	ɯsɯr	ɯ s ɯ r	713	92	
92	Albanian	black	14	zi	zez	z e z	133	866	
93	English	black	14	black	blak	b l a k	131	847	
94	French	black	14	noir	nwar	n w a r	130	46	
95	German	black	14	schwarz	ʃvarʦ	ʃ v a r ʦ	129	851	
96	Hawaiian	black	14	`ele`ele	ʔeleʔele	ʔ e l e ʔ e l e	136	491	
97	Navajo	black	14	ƚizhin	ɬiʒin	ɬ i ʒ i n	134	763	
98	Turkish	black	14	kara	kara	k a r a	132	560	
99	Albanian	blood	15	gjak	ɟakr	ɟ a k r	1115	136	
100	English	blood	15	blood	bləd	b l ə d	1112	1020	
101	French	blood	15	sang	sɑ̃	s ɑ̃	1113	1039	
102	German	blood	15	Blut	bluːt	b l uː t	1112	1020	
103	Hawaiian	blood	15	koko	koko	k o k o	1117	1039	
104	Navajo	blood	15	diƚ	diɬ	d i ɬ	1116	209	
105	Turkish	blood	15	kan	kan	k a n	1114	267	
106	Albanian	blow	16	fryn	fry	f r y	81	47	
107	English	blow	16	blows	blo	b l o	78	668	
108	French	blow	16	vente	vɑ̃te	v ɑ̃ t e	79	189	
109	German	blow	16	bläst	blaːz	b l aː z	78	668	
110	Hawaiian	blow	16	puhi	puhi	p u h i	83	754	
111	Navajo	blow	16	ních'i	niʧˀi	n i ʧˀ i	82	440	
112	Turkish	blow	16	esiyor	es	e s	80	1109	
113	Albanian	bone	17	kockë	koʦk	k o ʦ k	608	351	
114	English	bone	17	bone	bon	b o n	606	346	
115	French	bone	17	os	ɔs	ɔ s	605	1111	
116	German	bone	17	Knochen	knoxən	k n o x ə n	604	1022	
117	Hawaiian	bone	17	iwi	iwi	i w i	610	337	
118	Navajo	bone	17	ts'in	ʦˀin	ʦˀ i n	609	858	
119	Turkish	bone	17	kemik	kemik	k e m i k	607	696	
120	Albanian	breast	18	gji	ɟir	ɟ i r	208	1049	
121	English	breast	18	breast	brɛst	b r ɛ s t	205	612	
122	French	breast	18	sein	sɛ̃	s ɛ̃	206	571	
123	German	breast	18	Brust	brust	b r u s t	205	612	
124	Hawaiian	breast	18	ū	uː	uː	211	571	
125	Navajo	breast	18	'abe'	beʔ	b e ʔ	209	1049	
126	Turkish	breast	18	meme	meme	m e m e	207	190	
127	Albanian	breathe	19	marr frymë	frym	f r y m	755	418	
128	English	breathe	19	breathes	brið	b r i ð	753	40	
129	French	breathe	19	respire	rɛspire	r ɛ s p i r e	-752	388	
130	German	breathe	19	atmet	aːtm	aː t m	751	1050	
131	Hawaiian	breathe	19	hanu	hanu	h a n u	757	510	
132	Navajo	breathe	19	ńdísdzih	ńdiʣih	ń d i ʣ i h	756	58	
133	Turkish	breathe	19	nefes alıyor	nefes	n e f e s	-754	379	
134	Albanian	burn	20	digjet	diɟ	d i ɟ	516	239	
135	English	burn	20	burns	bərn	b ə r n	514	961	
136	French	burn	20	brûle	bryle	b r y l e	-514	338	
