ID	Taxa	Gloss	GlossID	OriginalForm	IPA	Tokens	CogID	NewCogID	
1	English	all	1	ɔ:l	ɔːl	ɔː l	175	804	
2	German	all	1	'alə	alə	a l ə	175	804	
3	Armenian_Mod	all	1	boˈloɾ	boloɾ	b o l o ɾ	566	466	
4	Greek_Mod	all	1	ˈo̞lo̞s	o̞lo̞s	o̞ l o̞ s	965	466	
5	Italian	all	1	'tutto	tutto	t u tː o	543	804	
6	Marathi	all	1	'səɾwə, 'səgɭə	səɾwə	s ə ɾ w ə	748	804	
7	Danish	all	1	ɛl	ɛl	ɛ l	175	804	
8	Portuguese_ST	all	1	ˈtoðu	toðu	t o ð u	543	804	
9	French	all	1	tu	tu	t u	543	804	
10	Russian	all	1	vsʲo	vsʲo	v sʲ o	1102	804	
11	Spanish	all	1	'toðo	toðo	t o ð o	543	804	
12	Swedish	all	1	ˈala	ala	a l a	175	804	
13	Bihari	all	1	səb	səb	s ə b	748	804	
14	Oriya	all	1	sɔbɔ	sɔbɔ	s ɔ b ɔ	748	804	
15	Dutch_List	all	1	'ɑləs	ɑləs	ɑ l ə s	175	804	
16	Czech	all	1	fʃɪxɲɪ	fʃɪxɲɪ	f ʃ ɪ x ɲ ɪ	1102	47	
17	Breton_ST	all	1	ɔl	ɔl	ɔ l	965	804	
18	Catalan	all	1	tot	tot	t o t	543	804	
19	Urdu	all	1	səb	səb	s ə b	748	804	
20	Polish	all	1	ˈkaʒdɨ	kaʒdɨ	k a ʒ d ɨ	3542	804	
21	Armenian_Mod	and	2	jɛv	jɛv	j ɛ v	567	152	
22	Breton_ST	and	2	a	a	a	966	205	
23	Catalan	and	2	i	i	i	848	527	
24	Czech	and	2	a	a	a	1103	484	
25	Danish	and	2	ɒw, ʌ	ɒw	ɒ w	1303	484	
26	Dutch_List	and	2	ɛn	ɛn	ɛ n	176	484	
27	English	and	2	ænd	ænd	æ n d	176	484	
28	French	and	2	e	e	e	848	591	
29	German	and	2	ʊnt	ʊnt	ʊ n t	176	484	
30	Greek_Mod	and	2	ce̞, c(i)	ce̞	c e̞	1447	106	
31	Italian	and	2	e, ed	e	e	848	484	
32	Marathi	and	2	'ani	ani	a n i	1591	484	
33	Polish	and	2	i	i	i	1103	491	
34	Portuguese_ST	and	2	i	i	i	848	527	
35	Russian	and	2	i	i	i	1103	491	
36	Spanish	and	2	i	i	i	848	527	
37	Swedish	and	2	ɔ(kː)	ɔkː	ɔ kː	1303	484	
38	Oriya	and	2	o	o	o	1	484	
39	Bihari	and	2	aur	aur	au r	1	341	
40	Urdu	and	2	ʔɔɾ	ʔɔɾ	ʔ ɔ ɾ	1	341	
41	Armenian_Mod	animal	3	kɛntʰɑˈni	kɛntʰɑni	k ɛ n tʰ ɑ n i	3385	142	
42	Breton_ST	animal	3	ɑ̃ˈneval	ɑ̃neval	ɑ̃ n e v a l	849	522	
43	Catalan	animal	3	əni’mal	ənimal	ə n i m a l	849	522	
44	Czech	animal	3	zviːr̝ɛ	zviːr̝ɛ	z v iː r̝ ɛ	1104	476	
45	Danish	animal	3	ˈd̥yːʌ, 'd̥yɐ̯	d̥yːʌ	d̥ yːʌ	177	658	
46	Dutch_List	animal	3	dir	dir	d i r	177	658	
47	English	animal	3	'ænɪməl	ænɪməl	æ n ɪ m ə l	849	522	
48	French	animal	3	animal	animal	a n i m a l	849	522	
49	German	animal	3	ti:ɐ̯	tiːɐ̯	t iːɐ̯	177	658	
50	Greek_Mod	animal	3	ˈzo̞ˌo̞	zo̞o̞	z o̞o̞	2176	526	
51	Italian	animal	3	ani'male	animale	a n i m a l e	849	522	
52	Polish	animal	3	ˈzvʲɛʒɛ̃	zvʲɛʒɛ̃	z vʲ ɛ ʒ ɛ̃	1104	476	
53	Portuguese_ST	animal	3	ɐniˈmaɫ	ɐnimaɫ	ɐ n i m a ɫ	849	522	
54	Russian	animal	3	ʒɨ'votnoe	ʒɨvotnoe	ʒ ɨ v o t n oe	2176	245	
55	Spanish	animal	3	ani'mal	animal	a n i m a l	849	522	
56	Swedish	animal	3	jʉːr	jʉːr	j ʉː r	177	658	
57	Oriya	animal	3	praṇi	praɳi	p r a ɳ i	849	910	
58	Oriya	animal	3	pɔsu	pɔsu	p ɔ s u	2177	242	
59	Bihari	animal	3	janbər	janbər	j a n b ə r	684	910	
60	Oriya	animal	3	ǰɔntu	ǰɔntu	ǰ ɔ n t u	684	910	
61	Urdu	animal	3	ʤɑnwəɾ	ʤɑnwəɾ	ʤ ɑ n w ə ɾ	684	910	
62	Breton_ST	animal	3	lo.ɛ̃n	lo.ɛ̃n	l o ɛ̃ n	2429	243	
63	Marathi	animal	3	dzən'awəɾ	dzənawəɾ	d z ə n a w ə ɾ	684	910	
64	Armenian_Mod	ashes	4	moˈχiɾ	moχiɾ	m o χ i ɾ	568	180	
65	Breton_ST	ashes	4	'ly:dy	lyːdy	l yː d y	968	307	
66	Catalan	ashes	4	'sɛndrə	sɛndrə	s ɛ n d r ə	850	901	
67	Czech	ashes	4	popɛl	popɛl	p o p ɛ l	1105	640	
68	Danish	ashes	4	ˈasg̥ʰə	asg̥ʰə	a s g̥ʰ ə	178	764	
69	Dutch_List	ashes	4	ɑs	ɑs	ɑ s	178	764	
70	English	ashes	4	æʃɪz	æʃɪz	æ ʃ ɪ z	178	764	
71	French	ashes	4	sɑ̃dʀ	sɑ̃dʀ	s ɑ̃ d ʀ	850	901	
72	German	ashes	4	'aʃə	aʃə	a ʃ ə	178	764	
73	Greek_Mod	ashes	4	ˈstaxti	staxti	s t a x t i	1448	764	
74	Italian	ashes	4	'tʃenere	ʧenere	ʧ e n e r e	850	901	
75	Marathi	ashes	4	ɾakʰ	ɾakʰ	ɾ a kʰ	1592	217	
76	Polish	ashes	4	ˈpɔpʲuw	pɔpʲuw	p ɔ pʲ u w	1105	640	
77	Portuguese_ST	ashes	4	ˈsĩzɐʃ	sĩzɐʃ	s ĩ z ɐ ʃ	850	901	
78	Russian	ashes	4	zo'la	zola	z o l a	3386	63	
79	Spanish	ashes	4	θe'niθas	θeniθas	θ e n i θ a s	850	901	
80	Swedish	ashes	4	stɔft	stɔft	s t ɔ f t	1448	764	
81	Bihari	ashes	4	chaur	cʰaur	cʰ au r	2182	552	
82	Oriya	ashes	4	bhɔsmoɔ	bʱɔsmoɔ	bʱ ɔ s m oɔ	2189	764	
83	Oriya	ashes	4	pãũsɔ	paːũsɔ	p aːũ s ɔ	3389	25	
84	Urdu	ashes	4	ɾɑkʰ	ɾɑkʰ	ɾ ɑ kʰ	1592	217	
