ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	2031	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	2031	
3	Thao	hand	1	446	rima	r i m a	1708	
4	Palauan	hand	1	446	cʰim	cʰ i m	1708	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	2031	
6	Bare'e	hand	1	1484	pale	p a l e	1369	
7	Iban	hand	1	155	taŋan	t a ŋ a n	2031	
8	Iban	hand	1	1556	jari	j a r i	89	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	2015	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	992	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	2547	
12	Wuna	hand	1	446	lima	l i m a	1708	
13	Tetum	hand	1	446	liman	l i m a n	1708	
14	Mailu	hand	1	446	ima	i m a	1708	
15	Tsou	hand	1	350	mucu	m u c u	1383	
16	Nias	hand	1	155	taŋa	t a ŋ a	2031	
17	Central Amis	hand	1	19	kamaj	k a m a j	2547	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	2547	
19	Banoni	hand	1	446	numa	n u m a	1708	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	2031	
21	Maloh	left	2	1000	kajoko	k a j o k o	593	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	824	
23	Palauan	left	2	1253	katur	k a t u r	1863	
24	Tunjung	left	2	645	ulaj	u l a j	1664	
25	Bare'e	left	2	483	kaiː	k a iː	1772	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	412	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	696	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	2151	
29	Hanunoo	left	2	159	wala	w a l a	1748	
30	Wuna	left	2	98	kema	k e m a	412	
31	Tetum	left	2	1881	karuk	k a r u k	1863	
32	Mailu	left	2	1934	ebe	e b e	412	
33	Tsou	left	2	483	vrina	v r i n a	1814	
34	Nias	left	2	2227	kabera	k a b e r a	1945	
35	Central Amis	left	2	483	kawili	k a w i l i	277	
36	Chamorro	left	2	2516	akague	a k a g u e	1774	
37	Banoni	left	2	2601	tororona	t o r o r o n a	668	
38	Singhi	left	2	2743	bait	b a i t	1235	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	1339	
40	Maloh	right	3	-519	kato	k a t o	1124	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	2317	
42	Palauan	right	3	1254	kadikm	k a d i k m	1255	
43	Tunjung	right	3	519	tauʔ	t a u ʔ	2278	
44	Bare'e	right	3	255	kana	k a n a	2317	
45	Iban	right	3	255	kanan	k a n a n	2317	
46	Berawan (Long Terawan)	right	3	519	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h	1141	
47	Moken	right	3	255	nanaːn	n a n aː n	2317	
48	Hanunoo	right	3	-184	sikun	s i k u n	1482	
49	Wuna	right	3	255	swana	s w a n a	2317	
50	Tetum	right	3	255	kwana	k w a n a	2317	
51	Mailu	right	3	1935	iata	i a t a	1040	
52	Tsou	right	3	255	vhona	v h o n a	2317	
53	Nias	right	3	2228	kawõlõ	k a w õ l õ	899	
54	Central Amis	right	3	255	kawanan	k a w a n a n	2317	
55	Banoni	right	3	519	matoː	m a t oː	1124	
56	Singhi	right	3	519	toux	t o u x	2278	
57	Banggi	right	3	-184	kikuan	k i k u a n	1482	
58	Merina (Malagasy)	leg/foot	4	-97	ranjo	r a n j o	940	
59	Merina (Malagasy)	leg/foot	4	1053	toŋotra	t o ŋ o t r a	2680	
60	Thao	leg/foot	4	1161	kuskus	k u s k u s	880	
61	Palauan	leg/foot	4	-290	oacʰ	o a cʰ	1064	
62	Tunjung	leg/foot	4	1401	uneŋ	u n e ŋ	2271	
63	Bare'e	leg/foot	4	28	witi	w i t i	61	
64	Iban	leg/foot	4	290	kaki	k a k i	2271	
65	Iban	leg/foot	4	1557	pah	p a h	2271	
66	Berawan (Long Terawan)	leg/foot	4	366	gimaʔ	g i m a ʔ	2233	
67	Moken	leg/foot	4	199	pakaʔ	p a k a ʔ	2271	
68	Moken	leg/foot	4	290	kakaj	k a k a j	2271	
69	Hanunoo	leg/foot	4	1797	raparapa	r a p a r a p a	2271	
70	Wuna	leg/foot	4	290	gʰagʰe	gʰ a gʰ e	2271	
71	Tetum	leg/foot	4	290	ain	a i n	2271	
72	Mailu	leg/foot	4	1936	au	a u	227	
73	Tsou	leg/foot	4	2099	ruru	r u r u	565	
74	Nias	leg/foot	4	290	ahe	a h e	2271	
75	Central Amis	leg/foot	4	290	waqaj	w a q a j	2271	
76	Chamorro	leg/foot	4	2517	adːeŋ	a dː e ŋ	2271	
77	Banoni	leg/foot	4	2602	rapinːa	r a p i nː a	1167	
78	Singhi	leg/foot	4	2744	peun	p e u n	233	
79	Banggi	leg/foot	4	290	uei	u e i	2670	
80	Maloh	to walk	5	563	lambaʔ	l a m b a ʔ	2495	
81	Merina (Malagasy)	to walk	5	1054	mandéha	m a n d é h a	2026	
82	Palauan	to walk	5	212	merael	m e r a e l	256	
83	Tunjung	to walk	5	212	calan	c a l a n	996	
84	Bare'e	to walk	5	99	linja	l i n j a	786	
85	Iban	to walk	5	212	jalai	j a l a i	996	
86	Berawan (Long Terawan)	to walk	5	57	lakaw	l a k a w	2005	
87	Moken	to walk	5	57	lakaw	l a k a w	2005	
88	Hanunoo	to walk	5	57	lumakaw	l u m a k a w	2005	
89	Wuna	to walk	5	362	nokala	n o k a l a	2089	
90	Tetum	to walk	5	57	laʔo	l a ʔ o	1557	
91	Mailu	to walk	5	1937	baebae	b a e b a e	1269	
92	Tsou	to walk	5	2100	coeconʉ	c o e c o n ʉ	2565	
93	Nias	to walk	5	416	fanõ	f a n õ	1557	
94	Central Amis	to walk	5	690	lumakat	l u m a k a t	2005	
95	Central Amis	to walk	5	690	rumakat	r u m a k a t	2005	
96	Chamorro	to walk	5	57	lahu	l a h u	1557	
97	Singhi	to walk	5	416	ponu	p o n u	419	
98	Banggi	to walk	5	416	empaːno	e m p aː n o	322	
99	Maloh	road/path	6	95	dalan	d a l a n	2039	
100	Merina (Malagasy)	road/path	6	95	lalana	l a l a n a	2039	
101	Thao	road/path	6	95	saran	s a r a n	2039	
102	Palauan	road/path	6	95	rael	r a e l	596	
103	Tunjung	road/path	6	95	loroŋ	l o r o ŋ	2685	
104	Bare'e	road/path	6	95	jaja	j a j a	2039	
105	Iban	road/path	6	95	jalai	j a l a i	2039	
106	Berawan (Long Terawan)	road/path	6	95	ilan	i l a n	2039	
107	Hanunoo	road/path	6	95	dalan	d a l a n	2039	
108	Wuna	road/path	6	95	sala	s a l a	2039	
109	Tetum	road/path	6	95	dalan	d a l a n	2039	
110	Mailu	road/path	6	1938	laea	l a e a	2039	
111	Tsou	road/path	6	95	ceonʉ	c e o n ʉ	859	
112	Nias	road/path	6	95	lala	l a l a	2039	
113	Central Amis	road/path	6	95	lalan	l a l a n	2039	
114	Chamorro	road/path	6	95	cʰalan	cʰ a l a n	2039	
115	Banoni	road/path	6	95	sanana	s a n a n a	2039	
116	Singhi	road/path	6	95	aran	a r a n	2039	
117	Maloh	to come	7	1001	mondok	m o n d o k	2170	
118	Merina (Malagasy)	to come	7	154	avj	a v j	2560	
119	Merina (Malagasy)	to come	7	1055	toŋa	t o ŋ a	1694	
120	Thao	to come	7	1162	munaj	m u n a j	361	
121	Palauan	to come	7	719	méi	m é i	1854	
122	Tunjung	to come	7	1402	moːt	m oː t	2349	
123	Bare'e	to come	7	719	maʔi	m a ʔ i	1854	
124	Iban	to come	7	-561	datai	d a t a i	2033	
125	Berawan (Long Terawan)	to come	7	1631	liʔ	l i ʔ	548	
126	Moken	to come	7	1703	ŋadin	ŋ a d i n	118	
127	Hanunoo	to come	7	1798	balik	b a l i k	1505	
128	Wuna	to come	7	719	mai	m a i	1854	
129	Tetum	to come	7	719	mai	m a i	1854	
130	Mailu	to come	7	-719	ai	a i	1854	
131	Tsou	to come	7	3	oh	o h	2304	
132	Tsou	to come	7	3	uso	u s o	31	
133	Nias	to come	7	719	mõi	m õ i	1854	
134	Central Amis	to come	7	2334	tajni	t a j n i	2075	
135	Singhi	to come	7	2745	nug	n u g	2219	
136	Banggi	to come	7	2845	miaːtaŋ	m i aː t a ŋ	2171	
137	Maloh	to turn	8	1002	lempaŋ	l e m p a ŋ	2108	
138	Merina (Malagasy)	to turn	8	-367	vilj	v i l j	2488	
139	Thao	to turn	8	1163	taushuqish	t a u s h u q i s h	1357	
140	Palauan	to turn	8	1255	meŋesoim	m e ŋ e s o i m	30	
141	Tunjung	to turn	8	1403	nencaŋ	n e n c a ŋ	2225	
142	Bare'e	to turn	8	591	gili	g i l i	481	
143	Iban	to turn	8	431	bilok	b i l o k	2488	
144	Berawan (Long Terawan)	to turn	8	1632	ŋəlibiʔ	ŋ ə l i b i ʔ	386	
145	Moken	to turn	8	1704	nʲiliək	nʲ i l i ə k	2595	
146	Hanunoo	to turn	8	1799	simaŋ	s i m a ŋ	2108	
147	Wuna	to turn	8	1860	nobelo	n o b e l o	2123	
148	Tetum	to turn	8	-367	filas	f i l a s	2488	
149	Tetum	to turn	8	-367	fila	f i l a	2488	
150	Tetum	to turn	8	-367	faur	f a u r	1610	
151	Tsou	to turn	8	2101	miunu	m i u n u	1967	
152	Central Amis	to turn	8	2335	maliwuŋ	m a l i w u ŋ	1139	
153	Banoni	to turn	8	2603	beruː	b e r uː	134	
154	Banoni	to turn	8	2604	vegom	v e g o m	2629	
155	Singhi	to turn	8	2746	kus	k u s	580	
156	Maloh	to swim	9	-311	arananaŋ	a r a n a n a ŋ	116	
157	Merina (Malagasy)	to swim	9	543	lomano	l o m a n o	174	
158	Merina (Malagasy)	to swim	9	1056	milomano	m i l o m a n o	2577	
159	Thao	to swim	9	1164	mrauz	m r a u z	1744	
160	Palauan	to swim	9	1256	meŋedub	m e ŋ e d u b	2319	
161	Tunjung	to swim	9	543	karaŋoj	k a r a ŋ o j	1315	
162	Bare'e	to swim	9	543	naŋu	n a ŋ u	1990	
163	Iban	to swim	9	1558	njemerai	n j e m e r a i	299	
164	Berawan (Long Terawan)	to swim	9	543	pəloŋoj	p ə l o ŋ o j	405	
165	Moken	to swim	9	543	naŋoj	n a ŋ o j	1990	
166	Hanunoo	to swim	9	543	lumaŋuj	l u m a ŋ u j	1990	
167	Wuna	to swim	9	543	leni	l e n i	870	
168	Tetum	to swim	9	543	nani	n a n i	870	
169	Mailu	to swim	9	540	loroloro	l o r o l o r o	1585	
170	Mailu	to swim	9	540	rolorolo	r o l o r o l o	2208	
171	Tsou	to swim	9	543	euhuŋzu	e u h u ŋ z u	2044	
172	Nias	to swim	9	543	molaŋi	m o l a ŋ i	1990	
173	Central Amis	to swim	9	543	laŋuj	l a ŋ u j	1990	
174	Central Amis	to swim	9	543	milaŋuj	m i l a ŋ u j	1990	
175	Chamorro	to swim	9	543	naŋunʲaŋu	n a ŋ u nʲ a ŋ u	1223	
176	Banoni	to swim	9	789	suː	s uː	1432	
177	Singhi	to swim	9	543	naŋuj	n a ŋ u j	1990	
178	Merina (Malagasy)	dirty	10	242	maloto	m a l o t o	2287	
179	Thao	dirty	10	1165	marisrisin	m a r i s r i s i n	1007	
180	Palauan	dirty	10	1257	idokel	i d o k e l	310	
181	Tunjung	dirty	10	242	marotaʔ	m a r o t a ʔ	2287	
182	Bare'e	dirty	10	1485	sapa	s a p a	2728	
183	Iban	dirty	10	667	kamah	k a m a h	2728	
184	Berawan (Long Terawan)	dirty	10	1633	labih	l a b i h	501	
185	Moken	dirty	10	1705	caʔiək	c a ʔ i ə k	2728	
186	Hanunoo	dirty	10	423	majagtiŋ	m a j a g t i ŋ	2466	
187	Hanunoo	dirty	10	423	maʔuriŋ	m a ʔ u r i ŋ	1679	
188	Wuna	dirty	10	785	noraku	n o r a k u	46	
189	Tetum	dirty	10	1882	kfur	k f u r	688	
190	Tetum	dirty	10	1883	karebo	k a r e b o	969	
191	Mailu	dirty	10	335	milomilo	m i l o m i l o	333	
192	Tsou	dirty	10	79	cai	c a i	2728	
193	Tsou	dirty	10	79	caʔi	c a ʔ i	2728	
194	Nias	dirty	10	-401	moŋdaʔi	m o ŋ d a ʔ i	1941	
195	Central Amis	dirty	10	2336	maacek	m a a c e k	1840	
196	Central Amis	dirty	10	2337	makalit	m a k a l i t	2366	
197	Chamorro	dirty	10	2518	hoplat	h o p l a t	2369	
198	Banoni	dirty	10	2605	kiːpi	k iː p i	2728	
199	Singhi	dirty	10	2747	kais	k a i s	2728	
200	Singhi	dirty	10	2748	sirida	s i r i d a	382	
201	Banggi	dirty	10	567	damak	d a m a k	2728	
202	Merina (Malagasy)	dust	11	1057	vovoka	v o v o k a	927	
203	Bare'e	dust	11	182	awu	a w u	2627	
204	Iban	dust	11	703	abu	a b u	2627	
205	Iban	dust	11	182	apok	a p o k	2627	
