ID	Taxa	Gloss	GlossID	OriginalForm	IPA	Tokens	CogID	NewCogID	
1	English	all	1	ɔ:l	ɔːl	ɔː l	175	922	
2	German	all	1	'alə	alə	a l ə	175	922	
3	Armenian_Mod	all	1	boˈloɾ	boloɾ	b o l o ɾ	566	538	
4	Greek_Mod	all	1	ˈo̞lo̞s	o̞lo̞s	o̞ l o̞ s	965	538	
5	Italian	all	1	'tutto	tutto	t u tː o	543	922	
6	Marathi	all	1	'səɾwə, 'səgɭə	səɾwə	s ə ɾ w ə	748	922	
7	Danish	all	1	ɛl	ɛl	ɛ l	175	922	
8	Portuguese_ST	all	1	ˈtoðu	toðu	t o ð u	543	922	
9	French	all	1	tu	tu	t u	543	922	
10	Russian	all	1	vsʲo	vsʲo	v sʲ o	1102	922	
11	Spanish	all	1	'toðo	toðo	t o ð o	543	922	
12	Swedish	all	1	ˈala	ala	a l a	175	922	
13	Bihari	all	1	səb	səb	s ə b	748	922	
14	Oriya	all	1	sɔbɔ	sɔbɔ	s ɔ b ɔ	748	922	
15	Dutch_List	all	1	'ɑləs	ɑləs	ɑ l ə s	175	922	
16	Czech	all	1	fʃɪxɲɪ	fʃɪxɲɪ	f ʃ ɪ x ɲ ɪ	1102	55	
17	Breton_ST	all	1	ɔl	ɔl	ɔ l	965	922	
18	Catalan	all	1	tot	tot	t o t	543	922	
19	Urdu	all	1	səb	səb	s ə b	748	922	
20	Polish	all	1	ˈkaʒdɨ	kaʒdɨ	k a ʒ d ɨ	3542	922	
21	Armenian_Mod	and	2	jɛv	jɛv	j ɛ v	567	177	
22	Breton_ST	and	2	a	a	a	966	684	
23	Catalan	and	2	i	i	i	848	684	
24	Czech	and	2	a	a	a	1103	684	
25	Danish	and	2	ɒw, ʌ	ɒw	ɒ w	1303	684	
26	Dutch_List	and	2	ɛn	ɛn	ɛ n	176	684	
27	English	and	2	ænd	ænd	æ n d	176	684	
28	French	and	2	e	e	e	848	684	
29	German	and	2	ʊnt	ʊnt	ʊ n t	176	684	
30	Greek_Mod	and	2	ce̞, c(i)	ce̞	c e̞	1447	124	
31	Italian	and	2	e, ed	e	e	848	684	
32	Marathi	and	2	'ani	ani	a n i	1591	684	
33	Polish	and	2	i	i	i	1103	684	
34	Portuguese_ST	and	2	i	i	i	848	684	
35	Russian	and	2	i	i	i	1103	684	
36	Spanish	and	2	i	i	i	848	684	
37	Swedish	and	2	ɔ(kː)	ɔkː	ɔ kː	1303	684	
38	Oriya	and	2	o	o	o	1	684	
39	Bihari	and	2	aur	aur	au r	1	404	
40	Urdu	and	2	ʔɔɾ	ʔɔɾ	ʔ ɔ ɾ	1	404	
41	Armenian_Mod	animal	3	kɛntʰɑˈni	kɛntʰɑni	k ɛ n tʰ ɑ n i	3385	166	
42	Breton_ST	animal	3	ɑ̃ˈneval	ɑ̃neval	ɑ̃ n e v a l	849	603	
43	Catalan	animal	3	əni’mal	ənimal	ə n i m a l	849	603	
44	Czech	animal	3	zviːr̝ɛ	zviːr̝ɛ	z v iː r̝ ɛ	1104	554	
45	Danish	animal	3	ˈd̥yːʌ, 'd̥yɐ̯	d̥yːʌ	d̥ yːʌ	177	766	
46	Dutch_List	animal	3	dir	dir	d i r	177	766	
47	English	animal	3	'ænɪməl	ænɪməl	æ n ɪ m ə l	849	603	
48	French	animal	3	animal	animal	a n i m a l	849	603	
49	German	animal	3	ti:ɐ̯	tiːɐ̯	t iːɐ̯	177	766	
50	Greek_Mod	animal	3	ˈzo̞ˌo̞	zo̞o̞	z o̞o̞	2176	608	
51	Italian	animal	3	ani'male	animale	a n i m a l e	849	603	
52	Polish	animal	3	ˈzvʲɛʒɛ̃	zvʲɛʒɛ̃	z vʲ ɛ ʒ ɛ̃	1104	554	
53	Portuguese_ST	animal	3	ɐniˈmaɫ	ɐnimaɫ	ɐ n i m a ɫ	849	603	
54	Russian	animal	3	ʒɨ'votnoe	ʒɨvotnoe	ʒ ɨ v o t n oe	2176	282	
55	Spanish	animal	3	ani'mal	animal	a n i m a l	849	603	
56	Swedish	animal	3	jʉːr	jʉːr	j ʉː r	177	766	
57	Oriya	animal	3	praṇi	praɳi	p r a ɳ i	849	1029	
58	Oriya	animal	3	pɔsu	pɔsu	p ɔ s u	2177	278	
59	Bihari	animal	3	janbər	janbər	j a n b ə r	684	1029	
60	Oriya	animal	3	ǰɔntu	ǰɔntu	ǰ ɔ n t u	684	259	
61	Urdu	animal	3	ʤɑnwəɾ	ʤɑnwəɾ	ʤ ɑ n w ə ɾ	684	1029	
62	Breton_ST	animal	3	lo.ɛ̃n	lo.ɛ̃n	l o ɛ̃ n	2429	279	
63	Marathi	animal	3	dzən'awəɾ	dzənawəɾ	d z ə n a w ə ɾ	684	1029	
64	Armenian_Mod	ashes	4	moˈχiɾ	moχiɾ	m o χ i ɾ	568	209	
65	Breton_ST	ashes	4	'ly:dy	lyːdy	l yː d y	968	362	
66	Catalan	ashes	4	'sɛndrə	sɛndrə	s ɛ n d r ə	850	1020	
67	Czech	ashes	4	popɛl	popɛl	p o p ɛ l	1105	742	
68	Danish	ashes	4	ˈasg̥ʰə	asg̥ʰə	a s g̥ʰ ə	178	881	
69	Dutch_List	ashes	4	ɑs	ɑs	ɑ s	178	881	
70	English	ashes	4	æʃɪz	æʃɪz	æ ʃ ɪ z	178	881	
71	French	ashes	4	sɑ̃dʀ	sɑ̃dʀ	s ɑ̃ d ʀ	850	1020	
72	German	ashes	4	'aʃə	aʃə	a ʃ ə	178	881	
73	Greek_Mod	ashes	4	ˈstaxti	staxti	s t a x t i	1448	881	
74	Italian	ashes	4	'tʃenere	ʧenere	ʧ e n e r e	850	1020	
75	Marathi	ashes	4	ɾakʰ	ɾakʰ	ɾ a kʰ	1592	248	
76	Polish	ashes	4	ˈpɔpʲuw	pɔpʲuw	p ɔ pʲ u w	1105	742	
77	Portuguese_ST	ashes	4	ˈsĩzɐʃ	sĩzɐʃ	s ĩ z ɐ ʃ	850	1020	
78	Russian	ashes	4	zo'la	zola	z o l a	3386	74	
79	Spanish	ashes	4	θe'niθas	θeniθas	θ e n i θ a s	850	1020	
80	Swedish	ashes	4	stɔft	stɔft	s t ɔ f t	1448	881	
81	Bihari	ashes	4	chaur	cʰaur	cʰ au r	2182	636	
82	Oriya	ashes	4	bhɔsmoɔ	bʱɔsmoɔ	bʱ ɔ s m oɔ	2189	881	
83	Oriya	ashes	4	pãũsɔ	paːũsɔ	p aːũ s ɔ	3389	31	
84	Urdu	ashes	4	ɾɑkʰ	ɾɑkʰ	ɾ ɑ kʰ	1592	248	
85	Swedish	ashes	4	'aska	aska	a s k a	178	881	
86	Marathi	ashes	4	'bʱəsmə	bʱəsmə	bʱ ə s m ə	2189	881	
87	Catalan	at	5	a	a	a	2542	935	
88	Czech	at	5	ʊ	ʊ	ʊ	2540	935	
89	Danish	at	5	veð	veð	v e ð	2545	935	
90	Dutch_List	at	5	tə	tə	t ə	2546	935	
91	English	at	5	æt	æt	æ t	2542	935	
92	French	at	5	a	a	a	2542	935	
93	German	at	5	an	an	a n	2544	935	
94	Greek_Mod	at	5	se̞	se̞	s e̞	1449	935	
95	Italian	at	5	a, ad	a	a	2542	935	
96	Marathi	at	5	t, tʰe	t	t	1659	935	
97	Polish	at	5	v	v	v	2535	935	
98	Portuguese_ST	at	5	ɐ̃j	ɐ̃j	ɐ̃ j	2535	935	
99	Russian	at	5	v	v	v	2535	935	
100	Spanish	at	5	a	a	a	2542	935	
101	Swedish	at	5	viːd	viːd	v iː d	2545	935	
102	Breton_ST	at	5	e, ẽn	e	e	2535	935	
103	Oriya	at	5	ṭhare	ʈʰare	ʈʰ a r e	2537	1033	
104	Oriya	at	5	re	re	r e	2537	410	
105	Urdu	at	5	pəɾ, pɛ	pəɾ	p ə ɾ	2536	1033	
106	Czech	at	5	pr̝̊ɪ	pr̝ɪ	p r̝ ɪ	2538	1033	
107	Russian	at	5	u	u	u	2540	935	
108	Catalan	at	5	pər	pər	p ə r	3544	1033	
109	Portuguese_ST	at	5	a	a	a	2543	935	
110	Swedish	at	5	po:	poː	p oː	3561	543	
111	Marathi	at	5	'wadzta	wadzta	w a d z t a	1829	247	
112	Armenian_Mod	at	5	um	um	u m	3582	935	
113	Armenian_Mod	at	5	in	in	i n	3588	935	
114	Breton_ST	back	6	kɛjn	kɛjn	k ɛ j n	969	931	
115	Catalan	back	6	əs'paʎʎə	əspaʎʎə	ə s p a ʎː ə	2186	931	
116	Danish	back	6	b̥ɛj	b̥ɛj	b̥ ɛ j	180	931	
117	Dutch_List	back	6	rʏχ	rʏχ	r ʏ χ	2183	931	
118	English	back	6	bæk	bæk	b æ k	180	931	
119	French	back	6	do	do	d o	851	531	
120	German	back	6	'rijkn̩	rijkn̩	r i j k n̩	2183	112	
121	Greek_Mod	back	6	ˈplati	plati	p l a t i	1580	931	
122	Italian	back	6	'dɔsso	dɔsso	d ɔ sː o	851	784	
123	Marathi	back	6	patʰ	patʰ	p a tʰ	686	931	
124	Polish	back	6	'plɛʦɨ	plɛʦɨ	p l ɛ ʦ ɨ	1885	931	
125	Russian	back	6	spi'na	spina	s p i n a	2059	931	
126	Spanish	back	6	es'palda	espalda	e s p a l d a	2186	931	
127	Swedish	back	6	rʏg	rʏg	r ʏ g	2183	931	
128	Bihari	back	6	piʈa	piʈa	p i ʈ a	686	931	
129	Bihari	back	6	ɖar	ɖar	ɖ a r	3391	931	
130	Oriya	back	6	piṭhi	piʈʰi	p i ʈʰ i	686	931	
131	Urdu	back	6	kəməɾ	kəməɾ	k ə m ə ɾ	3453	758	
132	Catalan	back	6	əs'kɛnə	əskɛnə	ə s k ɛ n ə	2551	931	
133	Portuguese_ST	back	6	ˈkɔʃtɐʃ	kɔʃtɐʃ	k ɔ ʃ t ɐ ʃ	3533	72	
134	Armenian_Mod	back	6	meʧʰkʰ	meʧʰkʰ	m e ʧʰ kʰ	3589	650	
135	Czech	back	6	zaːda	zaːda	z aː d a	3591	716	
136	Breton_ST	bad	7	fal	fal	f a l	970	939	
137	Catalan	bad	7	mal	mal	m a l	852	939	
138	Danish	bad	7	ɔn	ɔn	ɔ n	2191	238	
139	Dutch_List	bad	7	slɛχt	slɛχt	s l ɛ χ t	181	411	
140	English	bad	7	bæd	bæd	b æ d	2194	13	
141	French	bad	7	mɔvɛ	mɔvɛ	m ɔ v ɛ	852	939	
142	German	bad	7	ʃlɛçt	ʃlɛçt	ʃ l ɛ ç t	181	411	
143	Greek_Mod	bad	7	kaˈko̞s	kako̞s	k a k o̞ s	1451	939	
144	Italian	bad	7	kat'tivo	kattivo	k a tː i v o	2196	939	
145	Marathi	bad	7	wa͜i:ʈ	wa͜iːʈ	w a͜iː ʈ	3387	958	
146	Polish	bad	7	zwɨ	zwɨ	z w ɨ	1197	939	
147	Portuguese_ST	bad	7	maw	maw	m a w	852	939	
148	Russian	bad	7	plo'xoj	ploxoj	p l o x o j	3388	939	
149	Spanish	bad	7	'malo	malo	m a l o	852	939	
150	Swedish	bad	7	ˈdoː.lɪ(ɡ)	doː.lɪɡ	d oː l ɪ ɡ	2038	939	
151	Armenian_Mod	bad	7	vɑt	vɑt	v ɑ t	2190	621	
152	Bihari	bad	7	khərap	kʰərap	kʰ ə r a p	4	342	
153	Oriya	bad	7	khɔrap(ɔ)	kʰɔrapɔ	kʰ ɔ r a p ɔ	4	342	
154	Urdu	bad	7	bʊɾɑ	bʊɾɑ	b ʊ ɾ ɑ	2553	982	
155	Swedish	bad	7	und	und	u n d	2191	238	
156	Swedish	bad	7	'ʉ:səl	ʉːsəl	ʉː s ə l	2195	39	
157	Urdu	bad	7	χəɾɑb	χəɾɑb	χ ə ɾ ɑ b	4	342	
158	Czech	bad	7	zliː	zliː	z l iː	1197	939	
159	Czech	bark	8	kuːra	kuːra	k uː r a	182	768	
160	Catalan	bark	8	əs'kɔrsə	əskɔrsə	ə s k ɔ r s ə	182	768	
161	Breton_ST	bark	8	rysk	rysk	r y s k	971	394	
162	Danish	bark	8	b̥ɑːg̥ʰ	b̥ɑːg̥ʰ	b̥ ɑː g̥ʰ	1305	768	
163	Dutch_List	bark	8	sχɔrs	sχɔrs	s χ ɔ r s	182	768	
164	English	bark	8	bɑ:k	bɑːk	b ɑː k	1305	768	
165	French	bark	8	ekɔʀs	ekɔʀs	e k ɔ ʀ s	182	768	
166	German	bark	8	'rɪndə	rɪndə	r ɪ n d ə	1438	768	
167	Greek_Mod	bark	8	ðe̞ˈ(n)dro̞fluˌða	ðe̞ndro̞fluða	ð e̞ n d r o̞ f l u ð a	3390	15	
168	Italian	bark	8	'skɔrdza	skɔrdza	s k ɔ r d z a	182	768	
169	Marathi	bark	8	sal	sal	s a l	750	768	
170	Polish	bark	8	ˈkɔra	kɔra	k ɔ r a	182	768	
171	Russian	bark	8	ko'ra	kora	k o r a	182	768	
172	Spanish	bark	8	koɾ'teθa	koɾteθa	k o ɾ t e θ a	182	768	
173	Swedish	bark	8	bark	bark	b a r k	1305	768	
174	Bihari	bark	8	chal	cʰal	cʰ a l	750	768	
175	Oriya	bark	8	čheli	čheli	č h e l i	750	768	
176	Oriya	bark	8	bɔkɔḷɔ	bɔkɔɭɔ	b ɔ k ɔ ɭ ɔ	1798	768	
177	Urdu	bark	8	ʧɑl	ʧɑl	ʧ ɑ l	750	768	
178	German	bark	8	'bɔrkə	bɔrkə	b ɔ r k ə	1305	768	
179	Italian	bark	8	kor'tettʃa	kortetʧa	k o r t e t ʧ a	182	768	
180	Armenian_Mod	bark	8	kɛˈʁɛv	kɛʁɛv	k ɛ ʁ ɛ v	570	97	
181	Portuguese_ST	bark	8	ˈkaʃkɐ	kaʃkɐ	k a ʃ k ɐ	182	768	
182	German	because	9	va‿il	vail	v ai l	1439	539	
