ID	Taxon	Gloss	GlossID	Orthography	IPA	Tokens	CogID	NewCogID	
1	Albanian	all	1	gjithë	ɟiθ	ɟ i θ	4	1164	
2	English	all	1	all	ɔl	ɔ l	1	245	
3	French	all	1	tous	tut	t u t	2	648	
4	German	all	1	alle	al	a l	1	907	
5	Hawaiian	all	1	apau	apau	a p a u	7	1122	
6	Navajo	all	1	t'áá 'áƚtso	ʔayɬʦo	ʔ ay ɬ ʦ o	5	306	
7	Turkish	all	1	bütün	bytyn	b y t y n	3	1048	
8	Albanian	and	2	e	e	e	-916	872	
9	English	and	2	and	and	a n d	915	222	
10	French	and	2	et	e	e	916	872	
11	German	and	2	und	unt	u n t	915	886	
12	Hawaiian	and	2	ā	aː	aː	919	585	
13	Navajo	and	2	dóó	doː	d oː	918	288	
14	Turkish	and	2	ve	ve	v e	-917	816	
15	Albanian	animal	3	kafshë	kafʃ	k a f ʃ	-1018	325	
16	English	animal	3	animal	anəməl	a n ə m ə l	-1016	386	
17	French	animal	3	animal	animal	a n i m a l	-1016	386	
18	German	animal	3	Tier	tiːr	t iː r	1015	1036	
19	Hawaiian	animal	3	holoholona	holoholona	h o l o h o l o n a	1020	1025	
20	Navajo	animal	3	naaldeehii	naːldeːhiː	n aː l d eː h iː	1019	236	
21	Turkish	animal	3	hayvan	hajvan	h a j v a n	-1017	50	
22	Albanian	ashes	4	hi	hir	h i r	274	492	
23	English	ashes	4	ashes	aʃ	a ʃ	271	1276	
24	French	ashes	4	cendre	sɑ̃dr	s ɑ̃ d r	272	826	
25	German	ashes	4	Asche	aʃə	a ʃ ə	271	1047	
26	Hawaiian	ashes	4	lehu	lehu	l e h u	276	554	
27	Navajo	ashes	4	ƚeeshch'ih	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	275	244	
28	Turkish	ashes	4	kül	kyl	k y l	273	421	
29	Albanian	at	5	në	nə	n ə	954	1010	
30	English	at	5	at	at	a t	952	937	
31	French	at	5	à	a	a	952	1017	
32	German	at	5	an	an	a n	951	778	
33	Hawaiian	at	5	ma	ma	m a	956	1144	
34	Navajo	at	5	-di	di	d i	955	629	
35	Turkish	at	5	-de	de	d e	953	629	
36	Albanian	back	6	shpinë	ʃpin	ʃ p i n	-369	1062	
37	English	back	6	back	bak	b a k	367	193	
38	French	back	6	dos	do	d o	366	48	
39	German	back	6	Rücken	rykən	r y k ə n	365	262	
40	Hawaiian	back	6	kua	kua	k u a	372	1139	
41	Navajo	back	6	'anághah	nayɣah	n ay ɣ a h	370	1270	
42	Turkish	back	6	arka	arka	a r k a	368	82	
43	Albanian	bad	7	keq	kec	k e c	-281	269	
44	English	bad	7	bad	bad	b a d	279	1021	
45	French	bad	7	mauvais	mɔvɛz	m ɔ v ɛ z	278	1107	
46	German	bad	7	schlecht	ʃlext	ʃ l e x t	277	1189	
47	Hawaiian	bad	7	`ino	ʔino	ʔ i n o	283	34	
48	Navajo	bad	7	doo yá'áshǫ́ǫ da	jayʔayʃõõ	j ay ʔ ay ʃ õ õ	282	329	
49	Turkish	bad	7	kötü	køty	k ø t y	-280	691	
50	Albanian	bark	8	shkëlbozë	ʃkəlboz	ʃ k ə l b o z	413	91	
51	English	bark	8	bark	bɑrk	b ɑ r k	-411	966	
52	French	bark	8	écorce	ekɔrs	e k ɔ r s	410	893	
53	German	bark	8	Rinde	rində	r i n d ə	409	654	
54	Hawaiian	bark	8	`ili	ʔili	ʔ i l i	415	750	
55	Navajo	bark	8	'akásht'óózh	kayʃtˀoːʒ	k ay ʃ tˀ oː ʒ	414	457	
56	Turkish	bark	8	kabuk	kabuk	k a b u k	412	632	
57	Albanian	because	9	sepse	sepse	s e p s e	336	518	
58	English	because	9	because	bəkɔz	b ə k ɔ z	-337	737	
59	French	because	9	parce que	pars	p a r s	336	1242	
60	German	because	9	weil	vail	v ai l	335	622	
61	Hawaiian	because	9	ā mea	aːmea	aː m e a	341	1011	
62	Navajo	because	9	háálá	haːlay	h aː l ay	339	744	
63	Turkish	because	9	çünkü	ʧynky	ʧ y n k y	338	132	
64	Albanian	belly	10	bark	bark	b a r k	1012	294	
65	English	belly	10	belly	bɛli	b ɛ l i	1010	4	
66	French	belly	10	ventre	vɑ̃tr	v ɑ̃ t r	1009	564	
67	German	belly	10	Bauch	baux	b au x	1008	618	
68	Hawaiian	belly	10	`ōpū	ʔoːpuː	ʔ oː p uː	1014	1264	
69	Navajo	belly	10	'abid	bid	b i d	1013	887	
70	Turkish	belly	10	karın	karn	k a r n	1011	51	
71	Albanian	big	11	madh	mað	m a ð	198	566	
72	English	big	11	big	bɪg	b ɪ g	196	498	
73	French	big	11	grand	grɑ̃d	g r ɑ̃ d	195	1321	
74	German	big	11	groß	groːs	g r oː s	194	371	
75	Hawaiian	big	11	nui	nui	n u i	200	583	
76	Navajo	big	11	'áníƚtso	ʔayniɬʦo	ʔ ay n i ɬ ʦ o	199	92	
77	Turkish	big	11	büyük	byjyk	b y j y k	197	1252	
78	Albanian	bird	12	zog	zog	z o g	-482	506	
79	English	bird	12	bird	bərd	b ə r d	480	1222	
80	French	bird	12	oiseau	wazo	w a z o	479	969	
81	German	bird	12	Vogel	foːgəl	f oː g ə l	478	237	
82	Hawaiian	bird	12	manu	manu	m a n u	484	578	
83	Navajo	bird	12	tsídii	ʦidiː	ʦ i d iː	483	192	
84	Turkish	bird	12	kuş	kuʃ	k u ʃ	481	407	
85	Albanian	bite	13	kafshon	kafʃo	k a f ʃ o	714	882	
86	English	bite	13	bites	bait	b ai t	711	1302	
87	French	bite	13	mord	mɔr	m ɔ r	712	708	
88	German	bite	13	beißt	bais	b ai s	711	1302	
89	Hawaiian	bite	13	nahu	nahu	n a h u	716	340	
90	Navajo	bite	13	'aháshháásh	ʔahayɬhaːʃ	ʔ a h ay ɬ h aː ʃ	715	911	
91	Turkish	bite	13	ısırıyor	ɯsɯr	ɯ s ɯ r	713	130	
92	Albanian	black	14	zi	zez	z e z	133	1066	
93	English	black	14	black	blak	b l a k	131	1045	
94	French	black	14	noir	nwar	n w a r	130	64	
95	German	black	14	schwarz	ʃvarʦ	ʃ v a r ʦ	129	1050	
96	Hawaiian	black	14	`ele`ele	ʔeleʔele	ʔ e l e ʔ e l e	136	646	
97	Navajo	black	14	ƚizhin	ɬiʒin	ɬ i ʒ i n	134	952	
98	Turkish	black	14	kara	kara	k a r a	132	725	
99	Albanian	blood	15	gjak	ɟakr	ɟ a k r	1115	185	
100	English	blood	15	blood	bləd	b l ə d	1112	1226	
101	French	blood	15	sang	sɑ̃	s ɑ̃	1113	988	
102	German	blood	15	Blut	bluːt	b l uː t	1112	1226	
103	Hawaiian	blood	15	koko	koko	k o k o	1117	1246	
104	Navajo	blood	15	diƚ	diɬ	d i ɬ	1116	283	
105	Turkish	blood	15	kan	kan	k a n	1114	353	
106	Albanian	blow	16	fryn	fry	f r y	81	65	
107	English	blow	16	blows	blo	b l o	78	521	
108	French	blow	16	vente	vɑ̃te	v ɑ̃ t e	79	255	
109	German	blow	16	bläst	blaːz	b l aː z	78	851	
110	Hawaiian	blow	16	puhi	puhi	p u h i	83	942	
111	Navajo	blow	16	ních'i	niʧˀi	n i ʧˀ i	82	582	
112	Turkish	blow	16	esiyor	es	e s	80	1316	
113	Albanian	bone	17	kockë	koʦk	k o ʦ k	608	465	
114	English	bone	17	bone	bon	b o n	606	458	
115	French	bone	17	os	ɔs	ɔ s	605	1318	
116	German	bone	17	Knochen	knoxən	k n o x ə n	604	1228	
117	Hawaiian	bone	17	iwi	iwi	i w i	610	447	
118	Navajo	bone	17	ts'in	ʦˀin	ʦˀ i n	609	1058	
119	Turkish	bone	17	kemik	kemik	k e m i k	607	881	
120	Albanian	breast	18	gji	ɟir	ɟ i r	208	834	
121	English	breast	18	breast	brɛst	b r ɛ s t	205	789	
122	French	breast	18	sein	sɛ̃	s ɛ̃	206	738	
123	German	breast	18	Brust	brust	b r u s t	205	789	
124	Hawaiian	breast	18	ū	uː	uː	211	247	
125	Navajo	breast	18	'abe'	beʔ	b e ʔ	209	1256	
126	Turkish	breast	18	meme	meme	m e m e	207	256	
127	Albanian	breathe	19	marr frymë	frym	f r y m	755	552	
128	English	breathe	19	breathes	brið	b r i ð	753	56	
129	French	breathe	19	respire	rɛspire	r ɛ s p i r e	-752	511	
130	German	breathe	19	atmet	aːtm	aː t m	751	1257	
131	Hawaiian	breathe	19	hanu	hanu	h a n u	757	666	
132	Navajo	breathe	19	ńdísdzih	ńdiʣih	ń d i ʣ i h	756	81	
133	Turkish	breathe	19	nefes alıyor	nefes	n e f e s	-754	502	
134	Albanian	burn	20	digjet	diɟ	d i ɟ	516	317	
135	English	burn	20	burns	bərn	b ə r n	514	531	
136	French	burn	20	brûle	bryle	b r y l e	-514	448	
137	German	burn	20	brennt	bren	b r e n	514	1165	
138	Hawaiian	burn	20	`ā	ʔaː	ʔ aː	519	528	
139	Navajo	burn	20	diltƚi'	diltˡiʔ	d i l tˡ i ʔ	517	289	
140	Turkish	burn	20	yanıyor	jan	j a n	515	80	
141	Albanian	child	21	fëmiljë	fəmiʎ	f ə m i ʎ	-804	539	
142	English	child	21	child	ʧaild	ʧ ai l d	802	1124	
143	French	child	21	enfant	ɑ̃fɑ̃t	ɑ̃ f ɑ̃ t	801	959	
144	German	child	21	Kind	kind	k i n d	800	864	
145	Hawaiian	child	21	keiki	keiki	k e i k i	807	1104	
146	Navajo	child	21	'ashkii	ʔʃkiː	ʔ ʃ k iː	805	374	
147	Turkish	child	21	çocuk	ʧoʤuk	ʧ o ʤ u k	803	392	
148	Albanian	claw	22	thua	θon	θ o n	304	1069	
149	English	claw	22	claw	klɔ	k l ɔ	301	14	
150	French	claw	22	griffe	grif	g r i f	-302	739	
151	German	claw	22	Klaue	klauə	k l au ə	301	139	
152	Hawaiian	claw	22	miki`ao	mikiʔao	m i k i ʔ a o	307	1185	
153	Navajo	claw	22	'akéshgaan	keʃgaː	k e ʃ g aː	305	297	
154	Turkish	claw	22	tırnak	tɯrnak	t ɯ r n a k	303	1161	
155	Albanian	cloud	23	re	re	r e	698	11	
156	English	cloud	23	cloud	klaud	k l au d	696	251	
157	French	cloud	23	nuage	nɥaʒ	n ɥ a ʒ	695	388	
158	German	cloud	23	Wolke	volkə	v o l k ə	694	1077	
159	Hawaiian	cloud	23	ao	ao	a o	700	1001	
160	Navajo	cloud	23	k'os	kˀos	kˀ o s	699	694	
161	Turkish	cloud	23	bulut	bulut	b u l u t	697	211	
162	Albanian	cold	24	ftohët	ftohət	f t o h ə t	75	1055	
163	English	cold	24	cold	kold	k o l d	72	1128	
164	French	cold	24	froid	frwad	f r w a d	73	922	
165	German	cold	24	kalt	kalt	k a l t	72	1128	
166	Hawaiian	cold	24	anu	anu	a n u	77	342	
167	Navajo	cold	24	sik'az	sikˀaz	s i kˀ a z	76	84	
168	Turkish	cold	24	soğuk	soɣuk	s o ɣ u k	74	597	
169	Albanian	come	25	vjen	vjen	v j e n	-560	700	
170	English	come	25	comes	kəm	k ə m	560	1250	
171	French	come	25	vient	vjɛ̃	v j ɛ̃	560	270	
172	German	come	25	kommt	kom	k o m	560	1250	
173	Hawaiian	come	25	hele mai	hele	h e l e	563	122	
174	Navajo	come	25	yíghááh	jiɣaːh	j i ɣ aː h	562	168	
175	Turkish	come	25	geliyor	gel	g e l	561	32	
176	Albanian	count	26	numëron	numəruar	n u m ə r u a r	-164	425	
177	English	count	26	counts	kaunt	k au n t	-162	1282	
178	French	count	26	compte	kɔ̃te	k ɔ̃ t e	162	24	
179	German	count	26	zählt	ʦeːl	ʦ eː l	161	895	
180	Hawaiian	count	26	helu	helu	h e l u	166	698	
181	Navajo	count	26	'ííníshta'	iːniɬtaʔ	iː n i ɬ t a ʔ	165	640	
182	Turkish	count	26	sayıyor	saj	s a j	163	923	
183	Albanian	cut	27	pres	pres	p r e s	88	1294	
184	English	cut	27	cuts	kət	k ə t	-86	1168	
185	French	cut	27	coupe	kupe	k u p e	-85	1313	
186	German	cut	27	schneidet	ʃnaid	ʃ n ai d	84	921	
187	Hawaiian	cut	27	`oki	ʔoki	ʔ o k i	91	857	
188	Navajo	cut	27	'aháshgéésh	ʔahaygeːʃ	ʔ a h ay g eː ʃ	89	115	
189	Turkish	cut	27	kesiyor	kes	k e s	87	220	
190	Albanian	day	28	ditë	dit	d i t	241	821	
191	English	day	28	day	de	d e	238	749	
192	French	day	28	jour	ʒur	ʒ u r	239	44	
193	German	day	28	Tag	taːg	t aː g	238	358	
194	Hawaiian	day	28	lā	laː	l aː	243	86	
195	Navajo	day	28	jį́	ʤĩ́	ʤ ĩ́	242	1218	
196	Turkish	day	28	gün	gyn	g y n	240	770	
197	Albanian	die	29	vdes	vdes	v d e s	260	776	
198	English	die	29	dies	dai	d ai	-258	975	
199	French	die	29	meurt	mœr	m œ r	257	736	
200	German	die	29	stirbt	ʃterb	ʃ t e r b	256	861	
201	Hawaiian	die	29	make loa	make	m a k e	262	189	
202	Navajo	die	29	daaztsą́	daːzʦã́	d aː z ʦ ã́	261	702	
203	Turkish	die	29	ölüyor	øl	ø l	259	406	
204	Albanian	dig	30	gërmon	gərmo	g ə r m o	543	105	
205	English	dig	30	digs	dɪg	d ɪ g	-541	746	
206	French	dig	30	creuse	krøze	k r ø z e	-540	1152	
207	German	dig	30	gräbt	graːb	g r aː b	539	1299	
208	Hawaiian	dig	30	`eli	ʔeli	ʔ e l i	546	559	
209	Navajo	dig	30	hahashgééd	hahageːd	h a h a g eː d	544	202	
210	Turkish	dig	30	kazıyor	kaz	k a z	542	140	
211	Albanian	dirty	31	ndyrë	ndyr	n d y r	900	1236	
212	English	dirty	31	dirty	dərti	d ə r t i	-898	1004	
213	French	dirty	31	sale	sal	s a l	-897	856	
214	German	dirty	31	schmutzig	ʃmuʦix	ʃ m u ʦ i x	896	338	
215	Hawaiian	dirty	31	lepo	lepo	l e p o	903	615	
216	Navajo	dirty	31	baa'ih	baːʔih	b aː ʔ i h	901	260	
217	Turkish	dirty	31	pis	pis	p i s	-899	1018	
218	Albanian	dog	32	qen	cen	c e n	-1181	426	
219	English	dog	32	dog	dɑg	d ɑ g	1182	303	
220	French	dog	32	chien	ʃjɛn	ʃ j ɛ n	1181	621	
221	German	dog	32	Hund	hund	h u n d	1181	38	
222	Hawaiian	dog	32	`īlio	ʔiːlio	ʔ iː l i o	1185	1202	
223	Navajo	dog	32	ƚééchąą'í	ɬeːʧãːʔi	ɬ eː ʧ ãː ʔ i	1184	985	
224	Turkish	dog	32	köpek	køpek	k ø p e k	1183	1287	
225	Albanian	drink	33	pi	pi	p i	1079	59	
226	English	drink	33	drinks	drɪŋk	d r ɪ ŋ k	1078	364	
227	French	drink	33	bois	bwa	b w a	1079	852	
228	German	drink	33	trinkt	triŋk	t r i ŋ k	1078	364	
229	Hawaiian	drink	33	inu	inu	i n u	1082	669	
230	Navajo	drink	33	'adlą́	ʔadˡã́	ʔ a dˡ ã́	1081	1224	
231	Turkish	drink	33	içiyor	iʧ	i ʧ	1080	467	
232	Albanian	dry	34	thatë	θat	θ a t	575	400	
233	English	dry	34	dry	drai	d r ai	572	771	
234	French	dry	34	sec	sɛʃ	s ɛ ʃ	573	932	
235	German	dry	34	trocken	trokən	t r o k ə n	572	107	
236	Hawaiian	dry	34	malo`o	maloʔo	m a l o ʔ o	577	836	
237	Navajo	dry	34	yíƚtseii	jiɬʦeiː	j i ɬ ʦ e iː	576	1155	
238	Turkish	dry	34	kuru	kuru	k u r u	574	508	
239	Albanian	dull	35	pa mprehtë	mpreht	m p r e h t	823	754	
240	English	dull	35	dull	dəl	d ə l	821	393	
241	French	dull	35	émoussé	emuse	e m u s e	820	842	
242	German	dull	35	stumpf	ʃtump͡f	ʃ t u m p͡f	819	1295	
243	Hawaiian	dull	35	kūmūmū	kuːmuːmuː	k uː m uː m uː	826	90	
244	Navajo	dull	35	doo deení da	deːni	d eː n i	824	128	
245	Turkish	dull	35	kör	kør	k ø r	-822	1135	
246	Albanian	dust	36	pluhur	pluhur	p l u h u r	1122	963	
247	English	dust	36	dust	dəst	d ə s t	1120	1187	
248	French	dust	36	poussière	pusjɛr	p u s j ɛ r	1119	706	
249	German	dust	36	Staub	ʃtaub	ʃ t au b	1118	208	
250	Hawaiian	dust	36	`ehu	ʔehu	ʔ e h u	1124	1180	
251	Navajo	dust	36	ƚeezh	ɬeːʒ	ɬ eː ʒ	1123	1320	
252	Turkish	dust	36	toz	toz	t o z	1121	494	
253	Albanian	ear	37	vesh	veʃ	v e ʃ	438	298	
254	English	ear	37	ear	ɪr	ɪ r	438	1131	
255	French	ear	37	oreille	ɔrɛj	ɔ r ɛ j	438	70	
256	German	ear	37	Ohr	oːr	oː r	438	119	
257	Hawaiian	ear	37	pepeiao	pepeiao	p e p e i a o	441	863	
258	Navajo	ear	37	'ajaa'	ʤaːʔ	ʤ aː ʔ	440	500	
259	Turkish	ear	37	kulak	kulak	k u l a k	439	55	
260	Albanian	earth	38	dhe	ðer	ð e r	69	198	
261	English	earth	38	earth	ərθ	ə r θ	66	868	
262	French	earth	38	terre	tɛr	t ɛ r	67	145	
263	German	earth	38	Erde	eːrdə	eː r d ə	66	1301	
264	Hawaiian	earth	38	lepo	lepo	l e p o	71	1272	
265	Navajo	earth	38	ƚeezh	ɬeːʒ	ɬ eː ʒ	70	453	
266	Turkish	earth	38	toprak	toprak	t o p r a k	68	1019	
267	Albanian	eat	39	ha	ha	h a	119	915	
268	English	eat	39	eats	it	i t	116	1147	
269	French	eat	39	mange	mɑ̃ʒe	m ɑ̃ ʒ e	117	161	
270	German	eat	39	ißt	es	e s	116	1147	
271	Hawaiian	eat	39	`ai	ʔai	ʔ a i	121	347	
272	Navajo	eat	39	'ayą́	ʔajã́	ʔ a j ã́	120	924	
273	Turkish	eat	39	yiyor	je	j e	118	240	
274	Albanian	egg	40	vezë	vez	v e z	1222	333	
275	English	egg	40	egg	ɛg	ɛ g	-1222	443	
276	French	egg	40	œuf	œf	œ f	1222	1190	
277	German	egg	40	Ei	ai	ai	1222	118	
278	Hawaiian	egg	40	hua	hua	h u a	1225	538	
279	Navajo	egg	40	'ayęęzhii	jẽːʒiː	j ẽː ʒ iː	1224	1223	
280	Turkish	egg	40	yumurta	jumurta	j u m u r t a	1223	561	
281	Albanian	eye	41	sy	syr	s y r	708	183	
