ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	1105	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	3154	
3	Thao	hand	1	446	rima	r i m a	475	
4	Palauan	hand	1	446	cʰim	cʰ i m	2680	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	2818	
6	Bare'e	hand	1	1484	pale	p a l e	2195	
7	Iban	hand	1	155	taŋan	t a ŋ a n	1105	
8	Iban	hand	1	1556	jari	j a r i	156	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	3133	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	1613	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	1195	
12	Wuna	hand	1	446	lima	l i m a	427	
13	Tetum	hand	1	446	liman	l i m a n	427	
14	Mailu	hand	1	446	ima	i m a	1569	
15	Tsou	hand	1	350	mucu	m u c u	2214	
16	Nias	hand	1	155	taŋa	t a ŋ a	290	
17	Central Amis	hand	1	19	kamaj	k a m a j	1195	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	3812	
19	Banoni	hand	1	446	numa	n u m a	721	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	1105	
21	Maloh	left	2	1000	kajoko	k a j o k o	957	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	1311	
23	Palauan	left	2	1253	katur	k a t u r	2909	
24	Tunjung	left	2	645	ulaj	u l a j	2613	
25	Bare'e	left	2	483	kaiː	k a iː	2783	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	410	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	1112	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	3323	
29	Hanunoo	left	2	159	wala	w a l a	2750	
30	Wuna	left	2	98	kema	k e m a	677	
31	Tetum	left	2	1881	karuk	k a r u k	719	
32	Mailu	left	2	1934	ebe	e b e	550	
33	Tsou	left	2	483	vrina	v r i n a	2833	
34	Nias	left	2	2227	kabera	k a b e r a	3034	
35	Central Amis	left	2	483	kawili	k a w i l i	462	
36	Chamorro	left	2	2516	akague	a k a g u e	2785	
37	Banoni	left	2	2601	tororona	t o r o r o n a	1069	
38	Singhi	left	2	2743	bait	b a i t	1986	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	2153	
40	Maloh	right	3	-519	kato	k a t o	1822	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	880	
42	Palauan	right	3	1254	kadikm	k a d i k m	2016	
43	Tunjung	right	3	519	tauʔ	t a u ʔ	2160	
44	Bare'e	right	3	255	kana	k a n a	3534	
45	Iban	right	3	255	kanan	k a n a n	776	
46	Berawan (Long Terawan)	right	3	519	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h	1846	
47	Moken	right	3	255	nanaːn	n a n aː n	2986	
48	Hanunoo	right	3	-184	sikun	s i k u n	1180	
49	Wuna	right	3	255	swana	s w a n a	3534	
50	Tetum	right	3	255	kwana	k w a n a	3534	
51	Mailu	right	3	1935	iata	i a t a	1679	
52	Tsou	right	3	255	vhona	v h o n a	1630	
53	Nias	right	3	2228	kawõlõ	k a w õ l õ	1447	
54	Central Amis	right	3	255	kawanan	k a w a n a n	1522	
55	Banoni	right	3	519	matoː	m a t oː	1291	
56	Singhi	right	3	519	toux	t o u x	3481	
57	Banggi	right	3	-184	kikuan	k i k u a n	2356	
58	Merina (Malagasy)	leg/foot	4	-97	ranjo	r a n j o	1513	
59	Merina (Malagasy)	leg/foot	4	1053	toŋotra	t o ŋ o t r a	3953	
60	Thao	leg/foot	4	1161	kuskus	k u s k u s	1412	
61	Palauan	leg/foot	4	-290	oacʰ	o a cʰ	1715	
62	Tunjung	leg/foot	4	1401	uneŋ	u n e ŋ	1519	
63	Bare'e	leg/foot	4	28	witi	w i t i	108	
64	Iban	leg/foot	4	290	kaki	k a k i	1161	
65	Iban	leg/foot	4	1557	pah	p a h	1947	
66	Berawan (Long Terawan)	leg/foot	4	366	gimaʔ	g i m a ʔ	3422	
67	Moken	leg/foot	4	199	pakaʔ	p a k a ʔ	3469	
68	Moken	leg/foot	4	290	kakaj	k a k a j	2901	
69	Hanunoo	leg/foot	4	1797	raparapa	r a p a r a p a	646	
70	Wuna	leg/foot	4	290	gʰagʰe	gʰ a gʰ e	36	
71	Tetum	leg/foot	4	290	ain	a i n	2397	
72	Mailu	leg/foot	4	1936	au	a u	375	
73	Tsou	leg/foot	4	2099	ruru	r u r u	907	
74	Nias	leg/foot	4	290	ahe	a h e	2248	
75	Central Amis	leg/foot	4	290	waqaj	w a q a j	1372	
76	Chamorro	leg/foot	4	2517	adːeŋ	a dː e ŋ	70	
77	Banoni	leg/foot	4	2602	rapinːa	r a p i nː a	1889	
78	Singhi	leg/foot	4	2744	peun	p e u n	382	
79	Banggi	leg/foot	4	290	uei	u e i	3942	
80	Maloh	to walk	5	563	lambaʔ	l a m b a ʔ	3752	
81	Merina (Malagasy)	to walk	5	1054	mandéha	m a n d é h a	3148	
82	Palauan	to walk	5	212	merael	m e r a e l	421	
83	Tunjung	to walk	5	212	calan	c a l a n	155	
84	Bare'e	to walk	5	99	linja	l i n j a	1250	
85	Iban	to walk	5	212	jalai	j a l a i	1619	
86	Berawan (Long Terawan)	to walk	5	57	lakaw	l a k a w	2931	
87	Moken	to walk	5	57	lakaw	l a k a w	2931	
88	Hanunoo	to walk	5	57	lumakaw	l u m a k a w	3121	
89	Wuna	to walk	5	362	nokala	n o k a l a	3238	
90	Tetum	to walk	5	57	laʔo	l a ʔ o	1646	
91	Mailu	to walk	5	1937	baebae	b a e b a e	2047	
92	Tsou	to walk	5	2100	coeconʉ	c o e c o n ʉ	3833	
