ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	1059	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	1059	
3	Thao	hand	1	446	rima	r i m a	1059	
4	Palauan	hand	1	446	cʰim	cʰ i m	1059	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	1059	
6	Bare'e	hand	1	1484	pale	p a l e	1059	
7	Iban	hand	1	155	taŋan	t a ŋ a n	1059	
8	Iban	hand	1	1556	jari	j a r i	33	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	1059	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	394	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	1059	
12	Wuna	hand	1	446	lima	l i m a	1059	
13	Tetum	hand	1	446	liman	l i m a n	1059	
14	Mailu	hand	1	446	ima	i m a	1059	
15	Tsou	hand	1	350	mucu	m u c u	562	
16	Nias	hand	1	155	taŋa	t a ŋ a	1059	
17	Central Amis	hand	1	19	kamaj	k a m a j	1059	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	1059	
19	Banoni	hand	1	446	numa	n u m a	1059	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	1059	
21	Maloh	left	2	1000	kajoko	k a j o k o	863	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	863	
23	Palauan	left	2	1253	katur	k a t u r	863	
24	Tunjung	left	2	645	ulaj	u l a j	863	
25	Bare'e	left	2	483	kaiː	k a iː	713	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	863	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	279	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	863	
29	Hanunoo	left	2	159	wala	w a l a	863	
30	Wuna	left	2	98	kema	k e m a	863	
31	Tetum	left	2	1881	karuk	k a r u k	863	
32	Mailu	left	2	1934	ebe	e b e	863	
33	Tsou	left	2	483	vrina	v r i n a	734	
34	Nias	left	2	2227	kabera	k a b e r a	863	
35	Central Amis	left	2	483	kawili	k a w i l i	863	
36	Chamorro	left	2	2516	akague	a k a g u e	863	
37	Banoni	left	2	2601	tororona	t o r o r o n a	265	
38	Singhi	left	2	2743	bait	b a i t	491	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	534	
40	Maloh	right	3	-519	kato	k a t o	931	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	931	
42	Palauan	right	3	1254	kadikm	k a d i k m	931	
