ID	Taxa	Gloss	GlossID	OriginalForm	IPA	Tokens	CogID	NewCogID	
1	English	all	1	ɔ:l	ɔːl	ɔː l	175	729	
2	German	all	1	'alə	alə	a l ə	175	2137	
3	Armenian_Mod	all	1	boˈloɾ	boloɾ	b o l o ɾ	566	1761	
4	Greek_Mod	all	1	ˈo̞lo̞s	o̞lo̞s	o̞ l o̞ s	965	1761	
5	Italian	all	1	'tutto	tutto	t u tː o	543	1874	
6	Marathi	all	1	'səɾwə, 'səgɭə	səɾwə	s ə ɾ w ə	748	1411	
7	Danish	all	1	ɛl	ɛl	ɛ l	175	439	
8	Portuguese_ST	all	1	ˈtoðu	toðu	t o ð u	543	989	
9	French	all	1	tu	tu	t u	543	2120	
10	Russian	all	1	vsʲo	vsʲo	v sʲ o	1102	1012	
11	Spanish	all	1	'toðo	toðo	t o ð o	543	989	
12	Swedish	all	1	ˈala	ala	a l a	175	2137	
13	Bihari	all	1	səb	səb	s ə b	748	989	
14	Oriya	all	1	sɔbɔ	sɔbɔ	s ɔ b ɔ	748	989	
15	Dutch_List	all	1	'ɑləs	ɑləs	ɑ l ə s	175	1420	
16	Czech	all	1	fʃɪxɲɪ	fʃɪxɲɪ	f ʃ ɪ x ɲ ɪ	1102	179	
17	Breton_ST	all	1	ɔl	ɔl	ɔ l	965	729	
18	Catalan	all	1	tot	tot	t o t	543	2740	
19	Urdu	all	1	səb	səb	s ə b	748	989	
20	Polish	all	1	ˈkaʒdɨ	kaʒdɨ	k a ʒ d ɨ	3542	669	
21	Armenian_Mod	and	2	jɛv	jɛv	j ɛ v	567	578	
22	Breton_ST	and	2	a	a	a	966	2280	
23	Catalan	and	2	i	i	i	848	2041	
24	Czech	and	2	a	a	a	1103	2280	
25	Danish	and	2	ɒw, ʌ	ɒw	ɒ w	1303	1849	
26	Dutch_List	and	2	ɛn	ɛn	ɛ n	176	253	
27	English	and	2	ænd	ænd	æ n d	176	1819	
28	French	and	2	e	e	e	848	2280	
29	German	and	2	ʊnt	ʊnt	ʊ n t	176	1819	
30	Greek_Mod	and	2	ce̞, c(i)	ce̞	c e̞	1447	404	
31	Italian	and	2	e, ed	e	e	848	2280	
32	Marathi	and	2	'ani	ani	a n i	1591	331	
33	Polish	and	2	i	i	i	1103	2041	
34	Portuguese_ST	and	2	i	i	i	848	2041	
35	Russian	and	2	i	i	i	1103	2041	
36	Spanish	and	2	i	i	i	848	2041	
37	Swedish	and	2	ɔ(kː)	ɔkː	ɔ kː	1303	639	
38	Oriya	and	2	o	o	o	1	1257	
39	Bihari	and	2	aur	aur	au r	1	1377	
40	Urdu	and	2	ʔɔɾ	ʔɔɾ	ʔ ɔ ɾ	1	1147	
41	Armenian_Mod	animal	3	kɛntʰɑˈni	kɛntʰɑni	k ɛ n tʰ ɑ n i	3385	529	
42	Breton_ST	animal	3	ɑ̃ˈneval	ɑ̃neval	ɑ̃ n e v a l	849	2005	
43	Catalan	animal	3	əni’mal	ənimal	ə n i m a l	849	2005	
44	Czech	animal	3	zviːr̝ɛ	zviːr̝ɛ	z v iː r̝ ɛ	1104	1824	
45	Danish	animal	3	ˈd̥yːʌ, 'd̥yɐ̯	d̥yːʌ	d̥ yːʌ	177	468	
