ID	Taxon	Gloss	GlossID	Orthography	IPA	Tokens	CogID	NewCogID	
1	Albanian	all	1	gjithë	ɟiθ	ɟ i θ	4	1114	
2	English	all	1	all	ɔl	ɔ l	1	862	
3	French	all	1	tous	tut	t u t	2	606	
4	German	all	1	alle	al	a l	1	862	
5	Hawaiian	all	1	apau	apau	a p a u	7	1073	
6	Navajo	all	1	t'áá 'áƚtso	ʔayɬʦo	ʔ ay ɬ ʦ o	5	283	
7	Turkish	all	1	bütün	bytyn	b y t y n	3	1000	
8	Albanian	and	2	e	e	e	-916	182	
9	English	and	2	and	and	a n d	915	842	
10	French	and	2	et	e	e	916	828	
11	German	and	2	und	unt	u n t	915	842	
12	Hawaiian	and	2	ā	aː	aː	919	546	
13	Navajo	and	2	dóó	doː	d oː	918	266	
14	Turkish	and	2	ve	ve	v e	-917	773	
15	Albanian	animal	3	kafshë	kafʃ	k a f ʃ	-1018	301	
16	English	animal	3	animal	anəməl	a n ə m ə l	-1016	353	
17	French	animal	3	animal	animal	a n i m a l	-1016	353	
18	German	animal	3	Tier	tiːr	t iː r	1015	989	
19	Hawaiian	animal	3	holoholona	holoholona	h o l o h o l o n a	1020	978	
20	Navajo	animal	3	naaldeehii	naːldeːhiː	n aː l d eː h iː	1019	220	
21	Turkish	animal	3	hayvan	hajvan	h a j v a n	-1017	47	
22	Albanian	ashes	4	hi	hir	h i r	274	456	
23	English	ashes	4	ashes	aʃ	a ʃ	271	1225	
24	French	ashes	4	cendre	sɑ̃dr	s ɑ̃ d r	272	782	
25	German	ashes	4	Asche	aʃə	a ʃ ə	271	1225	
26	Hawaiian	ashes	4	lehu	lehu	l e h u	276	517	
27	Navajo	ashes	4	ƚeeshch'ih	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	275	227	
28	Turkish	ashes	4	kül	kyl	k y l	273	388	
29	Albanian	at	5	në	nə	n ə	954	964	
30	English	at	5	at	at	a t	952	892	
31	French	at	5	à	a	a	952	971	
32	German	at	5	an	an	a n	951	734	
33	Hawaiian	at	5	ma	ma	m a	956	1094	
34	Navajo	at	5	-di	di	d i	955	588	
35	Turkish	at	5	-de	de	d e	953	588	
36	Albanian	back	6	shpinë	ʃpin	ʃ p i n	-369	1014	
37	English	back	6	back	bak	b a k	367	179	
38	French	back	6	dos	do	d o	366	45	
39	German	back	6	Rücken	rykən	r y k ə n	365	242	
40	Hawaiian	back	6	kua	kua	k u a	372	1090	
41	Navajo	back	6	'anághah	nayɣah	n ay ɣ a h	370	1219	
42	Turkish	back	6	arka	arka	a r k a	368	77	
43	Albanian	bad	7	keq	kec	k e c	-281	249	
44	English	bad	7	bad	bad	b a d	279	974	
45	French	bad	7	mauvais	mɔvɛz	m ɔ v ɛ z	278	1059	
46	German	bad	7	schlecht	ʃlext	ʃ l e x t	277	1139	
47	Hawaiian	bad	7	`ino	ʔino	ʔ i n o	283	32	
48	Navajo	bad	7	doo yá'áshǫ́ǫ da	jayʔayʃõõ	j ay ʔ ay ʃ õ õ	282	305	
49	Turkish	bad	7	kötü	køty	k ø t y	-280	649	
50	Albanian	bark	8	shkëlbozë	ʃkəlboz	ʃ k ə l b o z	413	85	
51	English	bark	8	bark	bɑrk	b ɑ r k	-411	921	
52	French	bark	8	écorce	ekɔrs	e k ɔ r s	410	848	
53	German	bark	8	Rinde	rində	r i n d ə	409	612	
54	Hawaiian	bark	8	`ili	ʔili	ʔ i l i	415	708	
55	Navajo	bark	8	'akásht'óózh	kayʃtˀoːʒ	k ay ʃ tˀ oː ʒ	414	422	
56	Turkish	bark	8	kabuk	kabuk	k a b u k	412	591	
57	Albanian	because	9	sepse	sepse	s e p s e	336	482	
58	English	because	9	because	bəkɔz	b ə k ɔ z	-337	695	
59	French	because	9	parce que	pars	p a r s	336	1191	
60	German	because	9	weil	vail	v ai l	335	581	
61	Hawaiian	because	9	ā mea	aːmea	aː m e a	341	965	
62	Navajo	because	9	háálá	haːlay	h aː l ay	339	702	
63	Turkish	because	9	çünkü	ʧynky	ʧ y n k y	338	122	
64	Albanian	belly	10	bark	bark	b a r k	1012	577	
65	English	belly	10	belly	bɛli	b ɛ l i	1010	4	
66	French	belly	10	ventre	vɑ̃tr	v ɑ̃ t r	1009	526	
67	German	belly	10	Bauch	baux	b au x	1008	577	
68	Hawaiian	belly	10	`ōpū	ʔoːpuː	ʔ oː p uː	1014	1213	
69	Navajo	belly	10	'abid	bid	b i d	1013	843	
70	Turkish	belly	10	karın	karn	k a r n	1011	48	
71	Albanian	big	11	madh	mað	m a ð	198	527	
72	English	big	11	big	bɪg	b ɪ g	196	462	
73	French	big	11	grand	grɑ̃d	g r ɑ̃ d	195	1270	
74	German	big	11	groß	groːs	g r oː s	194	1270	
75	Hawaiian	big	11	nui	nui	n u i	200	544	
76	Navajo	big	11	'áníƚtso	ʔayniɬʦo	ʔ ay n i ɬ ʦ o	199	86	
77	Turkish	big	11	büyük	byjyk	b y j y k	197	1201	
78	Albanian	bird	12	zog	zog	z o g	-482	470	
79	English	bird	12	bird	bərd	b ə r d	480	1172	
80	French	bird	12	oiseau	wazo	w a z o	479	924	
81	German	bird	12	Vogel	foːgəl	f oː g ə l	478	221	
82	Hawaiian	bird	12	manu	manu	m a n u	484	539	
83	Navajo	bird	12	tsídii	ʦidiː	ʦ i d iː	483	178	
84	Turkish	bird	12	kuş	kuʃ	k u ʃ	481	374	
85	Albanian	bite	13	kafshon	kafʃo	k a f ʃ o	714	838	
86	English	bite	13	bites	bait	b ai t	711	1251	
87	French	bite	13	mord	mɔr	m ɔ r	712	666	
88	German	bite	13	beißt	bais	b ai s	711	1251	
89	Hawaiian	bite	13	nahu	nahu	n a h u	716	314	
90	Navajo	bite	13	'aháshháásh	ʔahayɬhaːʃ	ʔ a h ay ɬ h aː ʃ	715	866	
91	Turkish	bite	13	ısırıyor	ɯsɯr	ɯ s ɯ r	713	120	
92	Albanian	black	14	zi	zez	z e z	133	1018	
93	English	black	14	black	blak	b l a k	131	998	
94	French	black	14	noir	nwar	n w a r	130	61	
95	German	black	14	schwarz	ʃvarʦ	ʃ v a r ʦ	129	1002	
96	Hawaiian	black	14	`ele`ele	ʔeleʔele	ʔ e l e ʔ e l e	136	604	
97	Navajo	black	14	ƚizhin	ɬiʒin	ɬ i ʒ i n	134	907	
98	Turkish	black	14	kara	kara	k a r a	132	683	
99	Albanian	blood	15	gjak	ɟakr	ɟ a k r	1115	172	
100	English	blood	15	blood	bləd	b l ə d	1112	1176	
101	French	blood	15	sang	sɑ̃	s ɑ̃	1113	943	
102	German	blood	15	Blut	bluːt	b l uː t	1112	1176	
103	Hawaiian	blood	15	koko	koko	k o k o	1117	1195	
104	Navajo	blood	15	diƚ	diɬ	d i ɬ	1116	262	
105	Turkish	blood	15	kan	kan	k a n	1114	326	
106	Albanian	blow	16	fryn	fry	f r y	81	62	
107	English	blow	16	blows	blo	b l o	78	485	
108	French	blow	16	vente	vɑ̃te	v ɑ̃ t e	79	236	
109	German	blow	16	bläst	blaːz	b l aː z	78	807	
110	Hawaiian	blow	16	puhi	puhi	p u h i	83	897	
111	Navajo	blow	16	ních'i	niʧˀi	n i ʧˀ i	82	543	
112	Turkish	blow	16	esiyor	es	e s	80	1265	
113	Albanian	bone	17	kockë	koʦk	k o ʦ k	608	430	
114	English	bone	17	bone	bon	b o n	606	423	
115	French	bone	17	os	ɔs	ɔ s	605	1267	
116	German	bone	17	Knochen	knoxən	k n o x ə n	604	1178	
117	Hawaiian	bone	17	iwi	iwi	i w i	610	413	
118	Navajo	bone	17	ts'in	ʦˀin	ʦˀ i n	609	1010	
119	Turkish	bone	17	kemik	kemik	k e m i k	607	837	
120	Albanian	breast	18	gji	ɟir	ɟ i r	208	790	
121	English	breast	18	breast	brɛst	b r ɛ s t	205	746	
122	French	breast	18	sein	sɛ̃	s ɛ̃	206	696	
123	German	breast	18	Brust	brust	b r u s t	205	746	
124	Hawaiian	breast	18	ū	uː	uː	211	229	
125	Navajo	breast	18	'abe'	beʔ	b e ʔ	209	1205	
126	Turkish	breast	18	meme	meme	m e m e	207	237	
127	Albanian	breathe	19	marr frymë	frym	f r y m	755	515	
128	English	breathe	19	breathes	brið	b r i ð	753	53	
129	French	breathe	19	respire	rɛspire	r ɛ s p i r e	-752	475	
130	German	breathe	19	atmet	aːtm	aː t m	751	1206	
131	Hawaiian	breathe	19	hanu	hanu	h a n u	757	624	
132	Navajo	breathe	19	ńdísdzih	ńdiʣih	ń d i ʣ i h	756	76	
133	Turkish	breathe	19	nefes alıyor	nefes	n e f e s	-754	466	
134	Albanian	burn	20	digjet	diɟ	d i ɟ	516	293	
135	English	burn	20	burns	bərn	b ə r n	514	1115	
136	French	burn	20	brûle	bryle	b r y l e	-514	414	
137	German	burn	20	brennt	bren	b r e n	514	1115	
138	Hawaiian	burn	20	`ā	ʔaː	ʔ aː	519	492	
139	Navajo	burn	20	diltƚi'	diltˡiʔ	d i l tˡ i ʔ	517	267	
140	Turkish	burn	20	yanıyor	jan	j a n	515	75	
141	Albanian	child	21	fëmiljë	fəmiʎ	f ə m i ʎ	-804	502	
142	English	child	21	child	ʧaild	ʧ ai l d	802	1075	
143	French	child	21	enfant	ɑ̃fɑ̃t	ɑ̃ f ɑ̃ t	801	914	
144	German	child	21	Kind	kind	k i n d	800	820	
145	Hawaiian	child	21	keiki	keiki	k e i k i	807	1056	
146	Navajo	child	21	'ashkii	ʔʃkiː	ʔ ʃ k iː	805	344	
147	Turkish	child	21	çocuk	ʧoʤuk	ʧ o ʤ u k	803	359	
148	Albanian	claw	22	thua	θon	θ o n	304	1021	
149	English	claw	22	claw	klɔ	k l ɔ	301	13	
150	French	claw	22	griffe	grif	g r i f	-302	697	
151	German	claw	22	Klaue	klauə	k l au ə	301	129	
152	Hawaiian	claw	22	miki`ao	mikiʔao	m i k i ʔ a o	307	1135	
153	Navajo	claw	22	'akéshgaan	keʃgaː	k e ʃ g aː	305	274	
154	Turkish	claw	22	tırnak	tɯrnak	t ɯ r n a k	303	1111	
155	Albanian	cloud	23	re	re	r e	698	10	
156	English	cloud	23	cloud	klaud	k l au d	696	233	
157	French	cloud	23	nuage	nɥaʒ	n ɥ a ʒ	695	355	
158	German	cloud	23	Wolke	volkə	v o l k ə	694	1029	
159	Hawaiian	cloud	23	ao	ao	a o	700	956	
160	Navajo	cloud	23	k'os	kˀos	kˀ o s	699	652	
161	Turkish	cloud	23	bulut	bulut	b u l u t	697	198	
162	Albanian	cold	24	ftohët	ftohət	f t o h ə t	75	1007	
163	English	cold	24	cold	kold	k o l d	72	1079	
164	French	cold	24	froid	frwad	f r w a d	73	877	
165	German	cold	24	kalt	kalt	k a l t	72	1079	
166	Hawaiian	cold	24	anu	anu	a n u	77	316	
167	Navajo	cold	24	sik'az	sikˀaz	s i kˀ a z	76	79	
168	Turkish	cold	24	soğuk	soɣuk	s o ɣ u k	74	556	
169	Albanian	come	25	vjen	vjen	v j e n	-560	658	
170	English	come	25	comes	kəm	k ə m	560	1199	
171	French	come	25	vient	vjɛ̃	v j ɛ̃	560	250	
172	German	come	25	kommt	kom	k o m	560	1199	
173	Hawaiian	come	25	hele mai	hele	h e l e	563	112	
174	Navajo	come	25	yíghááh	jiɣaːh	j i ɣ aː h	562	155	
175	Turkish	come	25	geliyor	gel	g e l	561	112	
176	Albanian	count	26	numëron	numəruar	n u m ə r u a r	-164	392	
177	English	count	26	counts	kaunt	k au n t	-162	1231	
178	French	count	26	compte	kɔ̃te	k ɔ̃ t e	162	23	
179	German	count	26	zählt	ʦeːl	ʦ eː l	161	850	
180	Hawaiian	count	26	helu	helu	h e l u	166	656	
181	Navajo	count	26	'ííníshta'	iːniɬtaʔ	iː n i ɬ t a ʔ	165	599	
182	Turkish	count	26	sayıyor	saj	s a j	163	878	
183	Albanian	cut	27	pres	pres	p r e s	88	1243	
184	English	cut	27	cuts	kət	k ə t	-86	1118	
185	French	cut	27	coupe	kupe	k u p e	-85	1262	
186	German	cut	27	schneidet	ʃnaid	ʃ n ai d	84	876	
187	Hawaiian	cut	27	`oki	ʔoki	ʔ o k i	91	813	
188	Navajo	cut	27	'aháshgéésh	ʔahaygeːʃ	ʔ a h ay g eː ʃ	89	105	
189	Turkish	cut	27	kesiyor	kes	k e s	87	1118	
190	Albanian	day	28	ditë	dit	d i t	241	778	
191	English	day	28	day	de	d e	238	707	
192	French	day	28	jour	ʒur	ʒ u r	239	41	
193	German	day	28	Tag	taːg	t aː g	238	331	
194	Hawaiian	day	28	lā	laː	l aː	243	81	
195	Navajo	day	28	jį́	ʤĩ́	ʤ ĩ́	242	1168	
196	Turkish	day	28	gün	gyn	g y n	240	726	
197	Albanian	die	29	vdes	vdes	v d e s	260	732	
198	English	die	29	dies	dai	d ai	-258	930	
199	French	die	29	meurt	mœr	m œ r	257	694	
200	German	die	29	stirbt	ʃterb	ʃ t e r b	256	817	
201	Hawaiian	die	29	make loa	make	m a k e	262	175	
202	Navajo	die	29	daaztsą́	daːzʦã́	d aː z ʦ ã́	261	660	
203	Turkish	die	29	ölüyor	øl	ø l	259	373	
204	Albanian	dig	30	gërmon	gərmo	g ə r m o	543	97	
205	English	dig	30	digs	dɪg	d ɪ g	-541	704	
206	French	dig	30	creuse	krøze	k r ø z e	-540	1102	
207	German	dig	30	gräbt	graːb	g r aː b	539	1248	
208	Hawaiian	dig	30	`eli	ʔeli	ʔ e l i	546	521	
209	Navajo	dig	30	hahashgééd	hahageːd	h a h a g eː d	544	189	
210	Turkish	dig	30	kazıyor	kaz	k a z	542	130	
211	Albanian	dirty	31	ndyrë	ndyr	n d y r	900	1186	
212	English	dirty	31	dirty	dərti	d ə r t i	-898	959	
213	French	dirty	31	sale	sal	s a l	-897	812	
214	German	dirty	31	schmutzig	ʃmuʦix	ʃ m u ʦ i x	896	312	
215	Hawaiian	dirty	31	lepo	lepo	l e p o	903	574	
216	Navajo	dirty	31	baa'ih	baːʔih	b aː ʔ i h	901	241	
217	Turkish	dirty	31	pis	pis	p i s	-899	972	
218	Albanian	dog	32	qen	cen	c e n	-1181	393	
219	English	dog	32	dog	dɑg	d ɑ g	1182	280	
220	French	dog	32	chien	ʃjɛn	ʃ j ɛ n	1181	580	
221	German	dog	32	Hund	hund	h u n d	1181	35	
222	Hawaiian	dog	32	`īlio	ʔiːlio	ʔ iː l i o	1185	1152	
223	Navajo	dog	32	ƚééchąą'í	ɬeːʧãːʔi	ɬ eː ʧ ãː ʔ i	1184	940	
224	Turkish	dog	32	köpek	køpek	k ø p e k	1183	1236	
225	Albanian	drink	33	pi	pi	p i	1079	56	
226	English	drink	33	drinks	drɪŋk	d r ɪ ŋ k	1078	337	
227	French	drink	33	bois	bwa	b w a	1079	808	
228	German	drink	33	trinkt	triŋk	t r i ŋ k	1078	337	
229	Hawaiian	drink	33	inu	inu	i n u	1082	627	
230	Navajo	drink	33	'adlą́	ʔadˡã́	ʔ a dˡ ã́	1081	1174	
231	Turkish	drink	33	içiyor	iʧ	i ʧ	1080	432	
