ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	1353	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	1353	
3	Thao	hand	1	446	rima	r i m a	1353	
4	Palauan	hand	1	446	cʰim	cʰ i m	1353	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	1353	
6	Bare'e	hand	1	1484	pale	p a l e	1353	
7	Iban	hand	1	155	taŋan	t a ŋ a n	1353	
8	Iban	hand	1	1556	jari	j a r i	45	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	1353	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	504	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	1353	
12	Wuna	hand	1	446	lima	l i m a	1353	
13	Tetum	hand	1	446	liman	l i m a n	1353	
14	Mailu	hand	1	446	ima	i m a	1353	
15	Tsou	hand	1	350	mucu	m u c u	715	
16	Nias	hand	1	155	taŋa	t a ŋ a	1353	
17	Central Amis	hand	1	19	kamaj	k a m a j	1353	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	1353	
19	Banoni	hand	1	446	numa	n u m a	1353	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	1353	
21	Maloh	left	2	1000	kajoko	k a j o k o	1104	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	1104	
23	Palauan	left	2	1253	katur	k a t u r	1104	
24	Tunjung	left	2	645	ulaj	u l a j	1104	
25	Bare'e	left	2	483	kaiː	k a iː	910	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	1104	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	353	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	1104	
29	Hanunoo	left	2	159	wala	w a l a	1104	
30	Wuna	left	2	98	kema	k e m a	1104	
31	Tetum	left	2	1881	karuk	k a r u k	1104	
32	Mailu	left	2	1934	ebe	e b e	1104	
33	Tsou	left	2	483	vrina	v r i n a	937	
34	Nias	left	2	2227	kabera	k a b e r a	1104	
35	Central Amis	left	2	483	kawili	k a w i l i	1104	
36	Chamorro	left	2	2516	akague	a k a g u e	912	
37	Banoni	left	2	2601	tororona	t o r o r o n a	337	
38	Singhi	left	2	2743	bait	b a i t	635	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	686	
40	Maloh	right	3	-519	kato	k a t o	1195	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	1195	
42	Palauan	right	3	1254	kadikm	k a d i k m	1195	
43	Tunjung	right	3	519	tauʔ	t a u ʔ	1173	
44	Bare'e	right	3	255	kana	k a n a	1195	
45	Iban	right	3	255	kanan	k a n a n	1195	
46	Berawan (Long Terawan)	right	3	519	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h	586	
47	Moken	right	3	255	nanaːn	n a n aː n	1195	
48	Hanunoo	right	3	-184	sikun	s i k u n	1195	
49	Wuna	right	3	255	swana	s w a n a	1195	
50	Tetum	right	3	255	kwana	k w a n a	1195	
51	Mailu	right	3	1935	iata	i a t a	533	
52	Tsou	right	3	255	vhona	v h o n a	1195	
53	Nias	right	3	2228	kawõlõ	k a w õ l õ	455	
54	Central Amis	right	3	255	kawanan	k a w a n a n	1195	
55	Banoni	right	3	519	matoː	m a t oː	1195	
56	Singhi	right	3	519	toux	t o u x	1173	
57	Banggi	right	3	-184	kikuan	k i k u a n	1195	
58	Merina (Malagasy)	leg/foot	4	-97	ranjo	r a n j o	474	
59	Merina (Malagasy)	leg/foot	4	1053	toŋotra	t o ŋ o t r a	1464	
60	Thao	leg/foot	4	1161	kuskus	k u s k u s	445	
61	Palauan	leg/foot	4	-290	oacʰ	o a cʰ	1456	
62	Tunjung	leg/foot	4	1401	uneŋ	u n e ŋ	1456	
63	Bare'e	leg/foot	4	28	witi	w i t i	29	
64	Iban	leg/foot	4	290	kaki	k a k i	1456	
65	Iban	leg/foot	4	1557	pah	p a h	1456	
