ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	872	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	872	
3	Thao	hand	1	446	rima	r i m a	872	
4	Palauan	hand	1	446	cʰim	cʰ i m	872	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	872	
6	Bare'e	hand	1	1484	pale	p a l e	872	
7	Iban	hand	1	155	taŋan	t a ŋ a n	872	
8	Iban	hand	1	1556	jari	j a r i	872	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	872	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	872	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	872	
12	Wuna	hand	1	446	lima	l i m a	872	
13	Tetum	hand	1	446	liman	l i m a n	872	
14	Mailu	hand	1	446	ima	i m a	872	
15	Tsou	hand	1	350	mucu	m u c u	460	
16	Nias	hand	1	155	taŋa	t a ŋ a	872	
17	Central Amis	hand	1	19	kamaj	k a m a j	872	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	872	
19	Banoni	hand	1	446	numa	n u m a	872	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	872	
21	Maloh	left	2	1000	kajoko	k a j o k o	703	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	703	
23	Palauan	left	2	1253	katur	k a t u r	703	
24	Tunjung	left	2	645	ulaj	u l a j	703	
25	Bare'e	left	2	483	kaiː	k a iː	585	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	703	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	703	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	703	
29	Hanunoo	left	2	159	wala	w a l a	703	
30	Wuna	left	2	98	kema	k e m a	703	
31	Tetum	left	2	1881	karuk	k a r u k	703	
32	Mailu	left	2	1934	ebe	e b e	703	
33	Tsou	left	2	483	vrina	v r i n a	601	
34	Nias	left	2	2227	kabera	k a b e r a	703	
35	Central Amis	left	2	483	kawili	k a w i l i	703	
36	Chamorro	left	2	2516	akague	a k a g u e	703	
37	Banoni	left	2	2601	tororona	t o r o r o n a	221	
38	Singhi	left	2	2743	bait	b a i t	404	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	439	
40	Maloh	right	3	-519	kato	k a t o	760	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	760	
42	Palauan	right	3	1254	kadikm	k a d i k m	760	
43	Tunjung	right	3	519	tauʔ	t a u ʔ	760	
44	Bare'e	right	3	255	kana	k a n a	760	
45	Iban	right	3	255	kanan	k a n a n	760	
46	Berawan (Long Terawan)	right	3	519	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h	373	
47	Moken	right	3	255	nanaːn	n a n aː n	760	
48	Hanunoo	right	3	-184	sikun	s i k u n	760	
49	Wuna	right	3	255	swana	s w a n a	760	
50	Tetum	right	3	255	kwana	k w a n a	760	
51	Mailu	right	3	1935	iata	i a t a	343	
52	Tsou	right	3	255	vhona	v h o n a	760	
53	Nias	right	3	2228	kawõlõ	k a w õ l õ	295	
54	Central Amis	right	3	255	kawanan	k a w a n a n	760	
55	Banoni	right	3	519	matoː	m a t oː	760	
56	Singhi	right	3	519	toux	t o u x	760	
57	Banggi	right	3	-184	kikuan	k i k u a n	760	
58	Merina (Malagasy)	leg/foot	4	-97	ranjo	r a n j o	968	
59	Merina (Malagasy)	leg/foot	4	1053	toŋotra	t o ŋ o t r a	974	
60	Thao	leg/foot	4	1161	kuskus	k u s k u s	968	
61	Palauan	leg/foot	4	-290	oacʰ	o a cʰ	968	
62	Tunjung	leg/foot	4	1401	uneŋ	u n e ŋ	968	
63	Bare'e	leg/foot	4	28	witi	w i t i	968	
64	Iban	leg/foot	4	290	kaki	k a k i	968	
65	Iban	leg/foot	4	1557	pah	p a h	968	
66	Berawan (Long Terawan)	leg/foot	4	366	gimaʔ	g i m a ʔ	968	
67	Moken	leg/foot	4	199	pakaʔ	p a k a ʔ	968	
68	Moken	leg/foot	4	290	kakaj	k a k a j	968	
69	Hanunoo	leg/foot	4	1797	raparapa	r a p a r a p a	968	
70	Wuna	leg/foot	4	290	gʰagʰe	gʰ a gʰ e	968	
71	Tetum	leg/foot	4	290	ain	a i n	968	
72	Mailu	leg/foot	4	1936	au	a u	968	
73	Tsou	leg/foot	4	2099	ruru	r u r u	184	
74	Nias	leg/foot	4	290	ahe	a h e	968	
75	Central Amis	leg/foot	4	290	waqaj	w a q a j	968	
76	Chamorro	leg/foot	4	2517	adːeŋ	a dː e ŋ	968	
77	Banoni	leg/foot	4	2602	rapinːa	r a p i nː a	386	
78	Singhi	leg/foot	4	2744	peun	p e u n	968	
79	Banggi	leg/foot	4	290	uei	u e i	968	
80	Maloh	to walk	5	563	lambaʔ	l a m b a ʔ	840	
81	Merina (Malagasy)	to walk	5	1054	mandéha	m a n d é h a	666	
82	Palauan	to walk	5	212	merael	m e r a e l	840	
83	Tunjung	to walk	5	212	calan	c a l a n	840	
84	Bare'e	to walk	5	99	linja	l i n j a	840	
