ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	999	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	2863	
3	Thao	hand	1	446	rima	r i m a	1413	
4	Palauan	hand	1	446	cʰim	cʰ i m	2431	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	2559	
6	Bare'e	hand	1	1484	pale	p a l e	1982	
7	Iban	hand	1	155	taŋan	t a ŋ a n	999	
8	Iban	hand	1	1556	jari	j a r i	142	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	2844	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	1453	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	1082	
12	Wuna	hand	1	446	lima	l i m a	1413	
13	Tetum	hand	1	446	liman	l i m a n	1413	
14	Mailu	hand	1	446	ima	i m a	1413	
15	Tsou	hand	1	350	mucu	m u c u	1998	
16	Nias	hand	1	155	taŋa	t a ŋ a	999	
17	Central Amis	hand	1	19	kamaj	k a m a j	1082	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	3484	
19	Banoni	hand	1	446	numa	n u m a	655	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	999	
21	Maloh	left	2	1000	kajoko	k a j o k o	867	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	1188	
23	Palauan	left	2	1253	katur	k a t u r	2643	
24	Tunjung	left	2	645	ulaj	u l a j	2370	
25	Bare'e	left	2	483	kaiː	k a iː	2525	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	374	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	1005	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	3018	
29	Hanunoo	left	2	159	wala	w a l a	2494	
30	Wuna	left	2	98	kema	k e m a	616	
31	Tetum	left	2	1881	karuk	k a r u k	653	
32	Mailu	left	2	1934	ebe	e b e	499	
33	Tsou	left	2	483	vrina	v r i n a	2572	
34	Nias	left	2	2227	kabera	k a b e r a	2752	
35	Central Amis	left	2	483	kawili	k a w i l i	419	
36	Chamorro	left	2	2516	akague	a k a g u e	2527	
37	Banoni	left	2	2601	tororona	t o r o r o n a	967	
38	Singhi	left	2	2743	bait	b a i t	1799	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	1945	
40	Maloh	right	3	-519	kato	k a t o	1649	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	801	
42	Palauan	right	3	1254	kadikm	k a d i k m	1826	
43	Tunjung	right	3	519	tauʔ	t a u ʔ	1951	
44	Bare'e	right	3	255	kana	k a n a	3218	
45	Iban	right	3	255	kanan	k a n a n	3218	
46	Berawan (Long Terawan)	right	3	519	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h	1672	
47	Moken	right	3	255	nanaːn	n a n aː n	3218	
48	Hanunoo	right	3	-184	sikun	s i k u n	1067	
49	Wuna	right	3	255	swana	s w a n a	3218	
50	Tetum	right	3	255	kwana	k w a n a	3218	
51	Mailu	right	3	1935	iata	i a t a	1515	
52	Tsou	right	3	255	vhona	v h o n a	1470	
53	Nias	right	3	2228	kawõlõ	k a w õ l õ	1304	
54	Central Amis	right	3	255	kawanan	k a w a n a n	3218	
55	Banoni	right	3	519	matoː	m a t oː	1168	
56	Singhi	right	3	519	toux	t o u x	3169	
57	Banggi	right	3	-184	kikuan	k i k u a n	2128	
58	Merina (Malagasy)	leg/foot	4	-97	ranjo	r a n j o	1362	
59	Merina (Malagasy)	leg/foot	4	1053	toŋotra	t o ŋ o t r a	3623	
60	Thao	leg/foot	4	1161	kuskus	k u s k u s	1275	
61	Palauan	leg/foot	4	-290	oacʰ	o a cʰ	1548	
62	Tunjung	leg/foot	4	1401	uneŋ	u n e ŋ	1368	
63	Bare'e	leg/foot	4	28	witi	w i t i	99	
64	Iban	leg/foot	4	290	kaki	k a k i	1050	
65	Iban	leg/foot	4	1557	pah	p a h	1763	
66	Berawan (Long Terawan)	leg/foot	4	366	gimaʔ	g i m a ʔ	3114	
67	Moken	leg/foot	4	199	pakaʔ	p a k a ʔ	3157	
68	Moken	leg/foot	4	290	kakaj	k a k a j	2636	
69	Hanunoo	leg/foot	4	1797	raparapa	r a p a r a p a	589	
70	Wuna	leg/foot	4	290	gʰagʰe	gʰ a gʰ e	28	
71	Tetum	leg/foot	4	290	ain	a i n	2168	
72	Mailu	leg/foot	4	1936	au	a u	340	
73	Tsou	leg/foot	4	2099	ruru	r u r u	823	
74	Nias	leg/foot	4	290	ahe	a h e	2031	
